Repository,Stars,Ecosystem,Name
https://github.com/tensorflow/tensorflow,186089,pypi,tensorflow
https://github.com/Significant-Gravitas/AutoGPT,167597,,
https://github.com/AUTOMATIC1111/stable-diffusion-webui,141389,,
https://github.com/huggingface/transformers,133604,pypi,transformers
https://github.com/langchain-ai/langchain,93660,pypi,langchain
https://github.com/pytorch/pytorch,83077,pypi,torch
https://github.com/fastapi/fastapi,76681,pypi,fastapi
https://github.com/mermaid-js/mermaid,71541,,
https://github.com/zylon-ai/private-gpt,53934,,
https://github.com/gpt-engineer-org/gpt-engineer,52193,pypi,gpt-engineer
https://github.com/ultralytics/yolov5,50295,pypi,ultralytics
https://github.com/dair-ai/Prompt-Engineering-Guide,49438,,
https://github.com/julialang/julia,45607,,
https://github.com/pandas-dev/pandas,43553,pypi,pandas
https://github.com/nlohmann/json,42751,,
https://github.com/Leaflet/Leaflet,41238,,
https://github.com/jgraph/drawio,41046,,
https://github.com/psf/black,38798,pypi,black
https://github.com/run-llama/llama_index,36155,pypi,llama-index
https://github.com/novuhq/novu,34730,,
https://github.com/coqui-ai/tts,34727,pypi,tts
https://github.com/jgm/pandoc,34348,,
https://github.com/typst/typst,33987,,
https://github.com/gradio-app/gradio,33275,pypi,gradio
https://github.com/hiyouga/LLaMA-Factory,32673,pypi,llamafactory
https://github.com/nushell/nushell,32017,,
https://github.com/python-poetry/poetry,31479,pypi,poetry
https://github.com/explosion/spacy,29868,pypi,spacy
https://github.com/open-mmlab/mmdetection,29360,pypi,mmdet
https://github.com/Lightning-AI/pytorch-lightning,28199,pypi,lightning
https://github.com/lutzroeder/netron,27893,pypi,netron
https://github.com/huggingface/diffusers,25599,pypi,diffusers
https://github.com/manimcommunity/manim,24550,pypi,manim
https://github.com/roboflow/supervision,23749,pypi,supervision
https://github.com/microsoft/JARVIS,23612,,
https://github.com/duckdb/duckdb,23531,pypi,duckdb
https://github.com/mxgmn/wavefunctioncollapse,23281,,
https://github.com/sebastianruder/nlp-progress,22582,,
https://github.com/embedchain/embedchain,22366,pypi,mem0ai
https://github.com/sharkdp/hyperfine,21877,,
https://github.com/pyg-team/pytorch_geometric,21167,pypi,torch-geometric
https://github.com/pydantic/pydantic,20834,pypi,pydantic
https://github.com/wilfred/difftastic,20679,,
https://github.com/Tencent/ncnn,20327,,
https://github.com/matplotlib/matplotlib,20151,pypi,matplotlib
https://github.com/microsoft/unilm,19906,,
https://github.com/huggingface/datasets,19162,pypi,datasets
https://github.com/ymcui/Chinese-LLaMA-Alpaca,18296,,
https://github.com/joke2k/faker,17683,pypi,faker
https://github.com/EthicalML/awesome-production-machine-learning,17468,,
https://github.com/deepset-ai/haystack,17177,pypi,haystack-ai
https://github.com/pytorch/vision,16119,pypi,torchvision
https://github.com/hyperledger/fabric,15696,,
https://github.com/piskvorky/gensim,15624,pypi,gensim
https://github.com/tiangolo/typer,15604,pypi,typer
https://github.com/GaiZhenbiao/ChuanhuChatGPT,15197,pypi,ChuanhuChatGPT
https://github.com/ScrapeGraphAI/Scrapegraph-ai,15006,pypi,scrapegraphai
https://github.com/IDEA-Research/Grounded-Segment-Anything,14968,,
https://github.com/borisdayma/dalle-mini,14746,pypi,dalle-mini
https://github.com/assafelovic/gpt-researcher,14534,pypi,gpt-researcher
https://github.com/microsoft/onnxruntime,14455,pypi,onnxruntime
https://github.com/tiangolo/sqlmodel,14331,pypi,sqlmodel
https://github.com/clap-rs/clap,14205,,
https://github.com/microsoft/nni,14020,pypi,nni
https://github.com/unifyai/ivy,14014,pypi,ivy
https://github.com/MaaAssistantArknights/MaaAssistantArknights,13873,,
https://github.com/iterative/dvc,13721,pypi,dvc
https://github.com/nltk/nltk,13527,pypi,nltk
https://github.com/dair-ai/ml-visuals,13360,,
https://github.com/wkentaro/labelme,13357,pypi,labelme
https://github.com/neonbjb/tortoise-tts,13081,pypi,tortoise-tts
https://github.com/sympy/sympy,12900,pypi,sympy
https://github.com/blinkdl/rwkv-lm,12554,pypi,rwkv
https://github.com/NixOS/nix,12502,,
https://github.com/mwaskom/seaborn,12485,pypi,seaborn
https://github.com/cvat-ai/cvat,12413,pypi,cvat-sdk
https://github.com/github-linguist/linguist,12245,,
https://github.com/jedisct1/libsodium,12238,,
https://github.com/PyO3/pyo3,12164,,
https://github.com/ActivityWatch/activitywatch,12094,,
https://github.com/NVIDIA/NeMo,11858,pypi,nemo-toolkit
https://github.com/allenai/allennlp,11751,pypi,allennlp
https://github.com/OWASP/owasp-mastg,11697,,
https://github.com/plasma-umass/scalene,11677,pypi,scalene
https://github.com/official-stockfish/Stockfish,11481,,
https://github.com/weaviate/weaviate,11146,,
https://github.com/lengstrom/fast-style-transfer,10917,,
https://github.com/tweepy/tweepy,10488,pypi,tweepy
https://github.com/google/oss-fuzz,10448,,
https://github.com/plantuml/plantuml,10444,,
https://github.com/zettlr/zettlr,10262,,
https://github.com/ultralytics/yolov3,10179,pypi,ultralytics
https://github.com/amueller/word_cloud,10127,pypi,wordcloud
https://github.com/nasa/fprime,10057,pypi,fprime-bootstrap
https://github.com/mlfoundations/open_clip,10052,pypi,open-clip-torch
https://github.com/great-expectations/great_expectations,9915,pypi,great-expectations
https://github.com/kedro-org/kedro,9907,pypi,kedro
https://github.com/bentoml/OpenLLM,9892,pypi,openllm
https://github.com/offciercia/defi-developer-road-map,9790,,
https://github.com/huggingface/trl,9776,pypi,trl
