name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Katherine Crowson](https://github.com,,,,,,,,,0.0,1
Jong Wook Kim,,,,,,,,,0.0,1
Dayma,1.0,28613.0,28739.0,57352.0,707.0,456.0,2021-07-13 03:02:49+00:00,2023-08-22 04:06:28+00:00,1.0,0
Phúc Lê Khắc](https://github.com,16.0,22.0,1.0,23.0,3.0,1.0,2021-07-03 11:50:11+00:00,2021-07-03 11:50:11+00:00,1.0,0
Huang,,,,,,,,,0.0,0
Zhuliang Yao,,,,,,,,,0.0,0
Alec Radford,,,,,,,,,0.0,0
Wei,,,,,,,,,0.0,0
Chris Hallacy,,,,,,,,,0.0,0
Gabriel Goh,,,,,,,,,0.0,0
Dong,,,,,,,,,0.0,0
Wang,,,,,,,,,0.0,0
Chaudhary,,,,,,,,,0.0,0
Wendi Zheng,,,,,,,,,0.0,0
Lin,,,,,,,,,0.0,0
Ritobrata Ghosh](https://github.com,5.0,583.0,6.0,589.0,5.0,5.0,2021-07-13 21:41:23+00:00,2021-07-25 09:12:25+00:00,1.0,0
Suraj,4.0,2112.0,455.0,2567.0,13.0,11.0,2021-07-15 13:57:28+00:00,2021-10-19 17:39:16+00:00,1.0,0
Wenyi Hong,,,,,,,,,0.0,0
Gabriel,,,,,,,,,0.0,0
Tanishq Abraham](https://github.com,7.0,856.0,69.0,925.0,5.0,4.0,2021-07-15 03:21:43+00:00,2021-07-18 08:15:10+00:00,1.0,0
Singhal,,,,,,,,,0.0,0
Peyré,,,,,,,,,0.0,0
Han Hu,,,,,,,,,0.0,0
Yoram Singer,,,,,,,,,0.0,0
Mathieu,,,,,,,,,0.0,0
Luke,,,,,,,,,0.0,0
Tanishq,7.0,856.0,69.0,925.0,5.0,4.0,2021-07-15 03:21:43+00:00,2021-07-18 08:15:10+00:00,1.0,0
Blondel,,,,,,,,,0.0,0
Gretchen Krueger,,,,,,,,,0.0,0
Zhuoyi Yang,,,,,,,,,0.0,0
Cuenca,2.0,11090.0,2807.0,13897.0,157.0,98.0,2021-07-05 16:59:02+00:00,2022-07-23 18:18:19+00:00,1.0,0
Payal,,,,,,,,,0.0,0
Zhun,,,,,,,,,0.0,0
Wu,,,,,,,,,0.0,0
Benhaim,,,,,,,,,0.0,0
Liu,,,,,,,,,0.0,0
Boris Dayma](https://github.com,1.0,28613.0,28739.0,57352.0,707.0,456.0,2021-07-13 03:02:49+00:00,2023-08-22 04:06:28+00:00,1.0,0
Zhou Shao,,,,,,,,,0.0,0
Ma,1.0,28613.0,28739.0,57352.0,707.0,456.0,2021-07-13 03:02:49+00:00,2023-08-22 04:06:28+00:00,1.0,0
Xia,24.0,5.0,0.0,5.0,1.0,1.0,2022-05-02 20:31:21+00:00,2022-05-02 20:31:21+00:00,1.0,0
Aditya Ramesh,,,,,,,,,0.0,0
Pedro Cuenca](https://github.com,2.0,11090.0,2807.0,13897.0,157.0,98.0,2021-07-05 16:59:02+00:00,2022-07-23 18:18:19+00:00,1.0,0
Ghosh,5.0,583.0,6.0,589.0,5.0,5.0,2021-07-13 21:41:23+00:00,2021-07-25 09:12:25+00:00,1.0,0
Ves Stoyanov,,,,,,,,,0.0,0
Luke Zettlemoyer,,,,,,,,,0.0,0
Dongdong,,,,,,,,,0.0,0
Luke Melas](https://github.com,,,,,,,,,0.0,0
Yu,18.0,555.0,507.0,1062.0,1.0,1.0,2022-06-17 00:27:44+00:00,2022-06-17 00:27:44+00:00,1.0,0
Naman Goyal,,,,,,,,,0.0,0
Suraj Patil](https://github.com,,,,,,,,,0.0,0
Lê Khắc,16.0,22.0,1.0,23.0,3.0,1.0,2021-07-03 11:50:11+00:00,2021-07-03 11:50:11+00:00,1.0,0
Jason Weston,,,,,,,,,0.0,0
Han Xiao](https://github.com,24.0,5.0,0.0,5.0,1.0,1.0,2022-05-02 20:31:21+00:00,2022-05-02 20:31:21+00:00,1.0,0
Gil I.,,,,,,,,,0.0,0
Khalid,3.0,1158.0,1856.0,3014.0,17.0,17.0,2021-07-05 20:41:12+00:00,2021-07-30 14:24:45+00:00,1.0,0
Robin Rombach,,,,,,,,,0.0,0
Rico Sennrich,,,,,,,,,0.0,0
Li,3.0,1158.0,1856.0,3014.0,17.0,17.0,2021-07-05 20:41:12+00:00,2021-07-30 14:24:45+00:00,1.0,0
Saifullah,3.0,1158.0,1856.0,3014.0,17.0,17.0,2021-07-05 20:41:12+00:00,2021-07-30 14:24:45+00:00,1.0,0
Marjan Ghazvininejad,,,,,,,,,0.0,0
Björn Ommer,,,,,,,,,0.0,0
Mark Chen,,,,,,,,,0.0,0
Sandhini Agarwal,,,,,,,,,0.0,0
Li Dong,,,,,,,,,0.0,0
Hongxia Yang,,,,,,,,,0.0,0
Yutong Lin,,,,,,,,,0.0,0
Vineet Gupta,,,,,,,,,0.0,0
Wenhui,,,,,,,,,0.0,0
Pamela Mishkin,,,,,,,,,0.0,0
Barun,,,,,,,,,0.0,0
Phúc,16.0,22.0,1.0,23.0,3.0,1.0,2021-07-03 11:50:11+00:00,2021-07-03 11:50:11+00:00,1.0,0
Shuming,13.0,20.0,20.0,40.0,2.0,2.0,2022-03-28 14:48:29+00:00,2022-11-02 15:44:16+00:00,1.0,0
Phil Wang](https://github.com,,,,,,,,,0.0,0
Abraham,7.0,856.0,69.0,925.0,5.0,4.0,2021-07-15 03:21:43+00:00,2021-07-18 08:15:10+00:00,1.0,0
Hongyu,,,,,,,,,0.0,0
Coviello,,,,,,,,,0.0,0
Lorenzo,,,,,,,,,0.0,0
Shamir,,,,,,,,,0.0,0
Patil,4.0,2112.0,455.0,2567.0,13.0,11.0,2021-07-15 13:57:28+00:00,2021-10-19 17:39:16+00:00,1.0,0
Yinhan Liu,,,,,,,,,0.0,0
Saksham,,,,,,,,,0.0,0
Furu,,,,,,,,,0.0,0
Michael E. and,,,,,,,,,0.0,0
Omer Levy,,,,,,,,,0.0,0
Shaohan,,,,,,,,,0.0,0
Zhiliang,,,,,,,,,0.0,0
Zhang,,,,,,,,,0.0,0
Pedro,2.0,11090.0,2807.0,13897.0,157.0,98.0,2021-07-05 16:59:02+00:00,2022-07-23 18:18:19+00:00,1.0,0
Tomer Koren,,,,,,,,,0.0,0
Pierre,,,,,,,,,0.0,0
Kevin Regan,,,,,,,,,0.0,0
Mikhail Pavlov,,,,,,,,,0.0,0
Khalid Saifullah](https://github.com,,,,,,,,,0.0,0
Alon,,,,,,,,,0.0,0
Da Yin,,,,,,,,,0.0,0
Ablin,,,,,,,,,0.0,0
Jie Tang,,,,,,,,,0.0,0
Jack Clark,,,,,,,,,0.0,0
Ming Ding,,,,,,,,,0.0,0
Chelsea Voss,,,,,,,,,0.0,0
Junyang Lin,,,,,,,,,0.0,0
Patra,,,,,,,,,0.0,0
Myle Ott,,,,,,,,,0.0,0
Jia Ning,,,,,,,,,0.0,0
Ilya Sutskever,,,,,,,,,0.0,0
Abdelrahman Mohamed,,,,,,,,,0.0,0
Baining Guo,,,,,,,,,0.0,0
Girish Sastry,,,,,,,,,0.0,0
Amanda Askell,,,,,,,,,0.0,0
Zhenda Xie,,,,,,,,,0.0,0
Vishrav,,,,,,,,,0.0,0
Furu Wei,,,,,,,,,0.0,0
