name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Monti,,,,,,,,,0.0,0
Pan,17.0,1265.0,229.0,1494.0,72.0,22.0,2023-03-21 07:07:21+00:00,2024-09-20 20:51:30+00:00,1.0,0
Trouillon,,,,,,,,,0.0,0
Togninalli,,,,,,,,,0.0,0
Ji,2.0,5844.0,1648.0,7492.0,266.0,96.0,2021-01-30 09:42:20+00:00,2024-03-12 09:54:51+00:00,1.0,0
Leskovec,,,,,,,,,0.0,0
Morris,184.0,457.0,26.0,483.0,8.0,2.0,2020-12-08 16:51:18+00:00,2020-12-08 17:12:01+00:00,1.0,0
Ranjan,7.0,1081.0,317.0,1398.0,81.0,48.0,2019-05-18 10:25:17+00:00,2020-06-21 11:39:57+00:00,1.0,0
Gilmer,,,,,,,,,0.0,0
Bai,,,,,,,,,0.0,0
Jan E.,478.0,1.0,1.0,2.0,1.0,1.0,2020-12-10 20:34:38+00:00,2020-12-10 20:34:38+00:00,1.0,0
Dwivedi,201.0,426.0,0.0,426.0,6.0,2.0,2022-05-15 05:07:01+00:00,2022-11-17 12:36:36+00:00,1.0,0
Schlichtkrull,,,,,,,,,0.0,0
Huang,212.0,90.0,26.0,116.0,5.0,2.0,2021-09-03 10:50:46+00:00,2021-10-21 08:56:45+00:00,1.0,0
Zeng,,,,,,,,,0.0,0
Verma,262.0,103.0,0.0,103.0,4.0,1.0,2023-09-12 07:35:18+00:00,2023-09-12 07:35:18+00:00,1.0,0
Qasim,,,,,,,,,0.0,0
Ying,164.0,436.0,0.0,436.0,3.0,2.0,2021-05-10 03:14:45+00:00,2021-05-10 03:15:45+00:00,1.0,0
Bianchi,,,,,,,,,0.0,0
Xu,29.0,1551.0,318.0,1869.0,67.0,13.0,2021-06-15 22:43:13+00:00,2022-06-24 03:14:01+00:00,1.0,0
Bordes,,,,,,,,,0.0,0
Shi,4.0,6477.0,1750.0,8227.0,231.0,73.0,2022-07-30 18:45:16+00:00,2024-09-17 11:43:07+00:00,1.0,0
Chen,15.0,1267.0,417.0,1684.0,89.0,24.0,2023-02-02 14:42:30+00:00,2024-07-29 13:07:17+00:00,1.0,0
Baek,471.0,444.0,0.0,444.0,5.0,1.0,2021-09-20 10:17:43+00:00,2021-09-20 10:17:43+00:00,1.0,0
Lee,199.0,49.0,15.0,64.0,5.0,2.0,2022-06-15 15:01:43+00:00,2023-12-05 09:26:08+00:00,1.0,0
Brockschmidt,,,,,,,,,0.0,0
Deng,,,,,,,,,0.0,0
Qi,197.0,36.0,2.0,38.0,5.0,2.0,2020-03-07 03:21:37+00:00,2020-03-07 03:26:28+00:00,1.0,0
Zhang,15.0,1267.0,417.0,1684.0,89.0,24.0,2023-02-02 14:42:30+00:00,2024-07-29 13:07:17+00:00,1.0,0
Brody,70.0,17.0,16.0,33.0,5.0,5.0,2020-12-31 07:27:24+00:00,2022-08-17 12:10:29+00:00,1.0,0
Zhu,422.0,194.0,7.0,201.0,5.0,1.0,2023-03-20 13:19:04+00:00,2023-03-20 13:19:04+00:00,1.0,0
Zhou,46.0,13.0,10.0,23.0,8.0,8.0,2019-06-13 15:37:56+00:00,2019-06-25 13:22:28+00:00,1.0,0
Gao,,,,,,,,,0.0,0
Corso,340.0,196.0,0.0,196.0,2.0,1.0,2020-06-27 14:06:07+00:00,2020-06-27 14:06:07+00:00,1.0,0
Bo,16.0,134.0,104.0,238.0,50.0,23.0,2022-03-29 07:59:39+00:00,2024-10-09 11:51:57+00:00,1.0,0
Klicpera,23.0,681.0,78.0,759.0,28.0,17.0,2019-11-21 16:13:19+00:00,2020-08-20 16:35:23+00:00,1.0,0
Bartunov,,,,,,,,,0.0,0
Dong,6.0,2227.0,436.0,2663.0,121.0,51.0,2019-01-08 13:13:03+00:00,2022-05-11 11:15:59+00:00,1.0,0
Matthias,1.0,202900.0,135504.0,338404.0,17308.0,5182.0,2017-10-06 16:03:56+00:00,2024-10-21 03:30:12+00:00,1.0,0
Komodakis,,,,,,,,,0.0,0
Simonovsky,,,,,,,,,0.0,0
Rozemberczki,45.0,603.0,57.0,660.0,19.0,8.0,2021-06-17 17:09:58+00:00,2021-08-17 08:41:48+00:00,1.0,0
Zhao,366.0,195.0,0.0,195.0,7.0,1.0,2021-08-30 09:55:23+00:00,2021-08-30 09:55:23+00:00,1.0,0
Duvenaud,,,,,,,,,0.0,0
Cai,203.0,2.0,2.0,4.0,2.0,2.0,2020-03-31 09:41:42+00:00,2020-03-31 09:41:42+00:00,1.0,0
Xiong,364.0,2.0,2.0,4.0,1.0,1.0,2022-04-06 14:40:06+00:00,2022-04-06 14:40:06+00:00,1.0,0
Fey,1.0,202900.0,135504.0,338404.0,17308.0,5182.0,2017-10-06 16:03:56+00:00,2024-10-21 03:30:12+00:00,1.0,0
Tsitsulin,,,,,,,,,0.0,0
Hamilton,,,,,,,,,0.0,0
Grover,,,,,,,,,0.0,0
Diehl,43.0,686.0,68.0,754.0,14.0,9.0,2019-07-04 12:58:40+00:00,2020-01-23 11:55:17+00:00,1.0,0
Derr,,,,,,,,,0.0,0
Grossman,,,,,,,,,0.0,0
Ma,1.0,202900.0,135504.0,338404.0,17308.0,5182.0,2017-10-06 16:03:56+00:00,2024-10-21 03:30:12+00:00,1.0,0
Lim,,,,,,,,,0.0,0
Ghahramani,,,,,,,,,0.0,0
Jin,2.0,5844.0,1648.0,7492.0,266.0,96.0,2021-01-30 09:42:20+00:00,2024-03-12 09:54:51+00:00,1.0,0
Wu,212.0,90.0,26.0,116.0,5.0,2.0,2021-09-03 10:50:46+00:00,2021-10-21 08:56:45+00:00,1.0,0
Weisfeiler,,,,,,,,,0.0,0
Mo,21.0,4829.0,929.0,5758.0,87.0,19.0,2022-11-14 08:05:31+00:00,2024-02-09 20:31:06+00:00,1.0,0
Chiang,,,,,,,,,0.0,0
Thekumparampil,,,,,,,,,0.0,0
Rong,,,,,,,,,0.0,0
Wang,22.0,1933.0,1011.0,2944.0,21.0,19.0,2020-10-17 23:24:07+00:00,2020-10-18 01:12:57+00:00,1.0,0
Defferrard,,,,,,,,,0.0,0
Xie,,,,,,,,,0.0,0
Li,3.0,6603.0,1307.0,7910.0,487.0,80.0,2022-08-08 14:47:27+00:00,2024-04-26 12:09:42+00:00,1.0,0
Rampášek,327.0,5.0,2.0,7.0,1.0,1.0,2021-11-29 08:56:40+00:00,2021-11-29 08:56:40+00:00,1.0,0
Hu,38.0,148.0,54.0,202.0,11.0,10.0,2018-12-05 21:07:35+00:00,2019-08-07 10:21:46+00:00,1.0,0
Cangea,,,,,,,,,0.0,0
Battaglia,344.0,171.0,1.0,172.0,8.0,1.0,2024-01-07 23:37:40+00:00,2024-01-07 23:37:40+00:00,1.0,0
Yang,254.0,10.0,4.0,14.0,2.0,1.0,2022-10-18 06:00:36+00:00,2022-10-18 06:00:36+00:00,1.0,0
Dhillon,,,,,,,,,0.0,0
Park,217.0,151.0,151.0,302.0,3.0,2.0,2021-04-25 12:37:32+00:00,2021-04-25 12:38:22+00:00,1.0,0
Salha,55.0,58.0,32.0,90.0,7.0,7.0,2020-06-24 10:25:55+00:00,2020-09-21 12:05:40+00:00,1.0,0
Knyazev,44.0,670.0,217.0,887.0,33.0,9.0,2018-12-26 19:34:21+00:00,2020-01-03 13:05:08+00:00,1.0,0
Kim,6.0,2227.0,436.0,2663.0,121.0,51.0,2019-01-08 13:13:03+00:00,2022-05-11 11:15:59+00:00,1.0,0
