name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Evan Patterson,,,,,,,,,0.0,0
Krystyna Grzesiak,3.0,4716.0,2185.0,6901.0,141.0,42.0,2021-09-09 12:08:56+00:00,2022-03-11 11:37:53+00:00,1.0,0
Ewout van den Berg,,,,,,,,,0.0,0
Malgorzata Bogdan,,,,,,,,,0.0,0
Jonas Wallin,,,,,,,,,0.0,0
Jakub Kała,4.0,588.0,1206.0,1794.0,76.0,32.0,2021-09-05 17:14:26+00:00,2022-04-14 15:20:30+00:00,1.0,0
Michal Burdukiewicz,8.0,2.0,1.0,3.0,1.0,1.0,2022-02-09 09:31:11+00:00,2022-02-09 09:31:11+00:00,1.0,0
Johan Larsson,1.0,6249.0,5845.0,12094.0,660.0,191.0,2021-03-16 10:00:04+00:00,2024-07-09 18:26:59+00:00,1.0,0
Chiara Sabatti,,,,,,,,,0.0,0
Weijie Su,,,,,,,,,0.0,0
Emmanuel Candes,,,,,,,,,0.0,0
