name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Brian O'Meara,2.0,58803.0,67523.0,126326.0,1652.0,430.0,2012-06-06 00:27:37+00:00,2023-05-19 16:22:25+00:00,1.0,0
Klaus Schliep,13.0,35.0,33.0,68.0,1.0,1.0,2013-01-31 18:09:05+00:00,2013-01-31 18:09:05+00:00,1.0,0
Mike Alfaro,,,,,,,,,0.0,0
Matt Pennell,,,,,,,,,0.0,0
Jonathan Eastman,,,,,,,,,0.0,0
Joseph Brown,9.0,147.0,25.0,172.0,5.0,4.0,2012-06-06 16:05:07+00:00,2012-06-07 05:41:39+00:00,1.0,0
Peter Midford,8.0,440.0,51.0,491.0,7.0,7.0,2012-06-06 19:29:04+00:00,2012-06-07 20:03:59+00:00,1.0,0
Scott Chamberlain,7.0,685.0,233.0,918.0,17.0,7.0,2013-01-30 23:55:10+00:00,2013-04-29 17:46:52+00:00,1.0,0
April Wright,,,,,,,,,0.0,0
Luke Harmon,,,,,,,,,0.0,0
Luna L. Sanchez Reyes,1.0,176035.0,131590.0,307625.0,7232.0,714.0,2017-09-07 00:53:29+00:00,2024-06-05 04:24:13+00:00,1.0,0
Tracy Heath,6.0,30172.0,21.0,30193.0,9.0,8.0,2012-06-06 20:41:25+00:00,2012-06-08 17:27:47+00:00,1.0,0
