name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Lackner Kristof,,,,,,,,,0.0,0
Julien Stuyck,,,,,,,,,0.0,0
Jesse,,,,,,,,,0.0,0
Marc Abramowitz,10.0,32.0,8.0,40.0,4.0,4.0,2015-01-06 12:08:49+00:00,2015-03-13 07:14:25+00:00,1.0,0
Andy Neff,17.0,16.0,5.0,21.0,3.0,3.0,2015-05-10 04:43:50+00:00,2015-05-17 20:26:16+00:00,1.0,0
Florian Bruhin,47.0,36.0,9.0,45.0,3.0,1.0,2014-08-26 11:38:49+00:00,2014-08-26 11:38:49+00:00,1.0,0
Roger Binns,,,,,,,,,0.0,0
Dave Mckee,,,,,,,,,0.0,0
Simeon Visser,19.0,4.0,1.0,5.0,2.0,2.0,2014-08-27 22:11:17+00:00,2014-08-27 22:18:45+00:00,1.0,0
Oscar Lesta,,,,,,,,,0.0,0
eryksun,,,,,,,,,0.0,0
Thomas Weininger,39.0,1.0,1.0,2.0,1.0,1.0,2014-08-28 17:32:49+00:00,2014-08-28 17:32:49+00:00,1.0,0
Arnon Yaari,2.0,580.0,301.0,881.0,98.0,63.0,2014-05-14 21:24:08+00:00,2020-01-25 12:20:20+00:00,1.0,0
Jonathan Hartley,1.0,2835.0,550.0,3385.0,156.0,81.0,2014-04-17 20:30:37+00:00,2023-08-23 19:48:01+00:00,1.0,0
John Szakmeister,9.0,137.0,76.0,213.0,7.0,4.0,2014-10-11 11:07:01+00:00,2014-11-01 12:19:51+00:00,1.0,0
Charles Merriam,6.0,27.0,5.0,32.0,8.0,8.0,2014-12-11 00:12:39+00:00,2014-12-11 00:31:36+00:00,1.0,0
Marc Schlaich,27.0,3.0,0.0,3.0,1.0,1.0,2014-04-30 06:04:36+00:00,2014-04-30 06:04:36+00:00,1.0,0
Daniel Griffith,,,,,,,,,0.0,0
Remi Rampin,8.0,24.0,2.0,26.0,4.0,4.0,2014-08-21 03:02:27+00:00,2014-08-21 03:41:32+00:00,1.0,0
Tim Golden,,,,,,,,,0.0,0
Zearin,7.0,92.0,94.0,186.0,5.0,5.0,2015-04-24 15:55:40+00:00,2015-05-21 14:26:35+00:00,1.0,0
Ben Hoyt,,,,,,,,,0.0,0
Matthew McCormick,,,,,,,,,0.0,0
Jurko,25.0,3.0,3.0,6.0,2.0,2.0,2014-05-01 13:12:13+00:00,2014-05-13 15:05:39+00:00,1.0,0
