name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Edward,18.0,157.0,2.0,159.0,6.0,1.0,2024-01-18 13:55:00+00:00,2024-01-18 13:55:00+00:00,1.0,1
Wolf,,,,,,,,,0.0,1
Rajani,,,,,,,,,0.0,0
Bartolome,7.0,489.0,31.0,520.0,14.0,3.0,2023-11-21 10:47:21+00:00,2024-04-25 08:35:45+00:00,1.0,0
M. Rush,,,,,,,,,0.0,0
Kashif,2.0,167.0,175.0,342.0,44.0,6.0,2023-11-12 12:44:50+00:00,2024-09-23 07:48:40+00:00,1.0,0
Alexander,,,,,,,,,0.0,0
Beeching,3.0,189.0,15.0,204.0,13.0,5.0,2023-11-09 09:56:25+00:00,2023-11-10 13:15:44+00:00,1.0,0
Shengyi,,,,,,,,,0.0,0
Nazneen,,,,,,,,,0.0,0
Tunstall,1.0,3600.0,643.0,4243.0,178.0,50.0,2023-08-25 11:35:35+00:00,2024-08-19 10:33:11+00:00,1.0,0
Rasul,2.0,167.0,175.0,342.0,44.0,6.0,2023-11-12 12:44:50+00:00,2024-09-23 07:48:40+00:00,1.0,0
Alvaro,7.0,489.0,31.0,520.0,14.0,3.0,2023-11-21 10:47:21+00:00,2024-04-25 08:35:45+00:00,1.0,0
Thomas,13.0,1.0,1.0,2.0,1.0,1.0,2023-11-21 11:00:09+00:00,2023-11-21 11:00:09+00:00,1.0,0
Lewis,1.0,3600.0,643.0,4243.0,178.0,50.0,2023-08-25 11:35:35+00:00,2024-08-19 10:33:11+00:00,1.0,0
Huang,23.0,161.0,0.0,161.0,4.0,1.0,2024-02-01 15:02:19+00:00,2024-02-01 15:02:19+00:00,1.0,0
Nathan,4.0,66.0,13.0,79.0,7.0,4.0,2023-12-04 08:10:41+00:00,2024-01-29 10:59:15+00:00,1.0,0
Lambert,6.0,98.0,6.0,104.0,13.0,3.0,2023-08-29 19:44:34+00:00,2023-08-29 23:38:28+00:00,1.0,0
