name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Roelofs,,,,,,,,,0.0,1
Blackburn,13.0,49.0,21.0,70.0,8.0,8.0,2016-09-09 00:43:54+00:00,2022-05-03 17:22:55+00:00,1.0,1
Fromm,,,,,,,,,0.0,0
Issaoun,,,,,,,,,0.0,0
Gold,,,,,,,,,0.0,0
Jorstad,,,,,,,,,0.0,0
Wielgus,6.0,2097.0,237.0,2334.0,64.0,57.0,2018-05-31 18:48:51+00:00,2019-08-28 02:56:23+00:00,1.0,0
Savolainen,,,,,,,,,0.0,0
Zhao,,,,,,,,,0.0,0
Mizuno,,,,,,,,,0.0,0
Kosogorov,,,,,,,,,0.0,0
Zhu,,,,,,,,,0.0,0
Johnson,2.0,18047.0,2656.0,20703.0,353.0,310.0,2016-07-25 20:35:48+00:00,2022-01-21 13:43:43+00:00,1.0,0
Fuentes,,,,,,,,,0.0,0
Raymond,,,,,,,,,0.0,0
Palumbo,10.0,537.0,283.0,820.0,16.0,14.0,2018-07-02 20:14:44+00:00,2019-08-14 19:25:27+00:00,1.0,0
Kim,,,,,,,,,0.0,0
Pesce,16.0,1835.0,356.0,2191.0,10.0,7.0,2019-07-17 01:25:19+00:00,2023-02-22 14:48:26+00:00,1.0,0
EHTC,,,,,,,,,0.0,0
Janssen,,,,,,,,,0.0,0
Psaltis,,,,,,,,,0.0,0
Paul Boley's,,,,,,,,,0.0,0
Bouman,4.0,2503.0,1290.0,3793.0,118.0,94.0,2018-06-04 22:49:03+00:00,2020-08-25 01:45:02+00:00,1.0,0
Xu,,,,,,,,,0.0,0
Chael,1.0,864938.0,140609.0,1005547.0,2065.0,775.0,2016-01-19 19:58:53+00:00,2022-05-05 04:05:04+00:00,1.0,0
