name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Ariel,7,8051,3463,11514,554,59,2021-08-21 22:11:19+00:00,2024-10-11 16:32:39+00:00,1.0,0
Gianluca,27,1985,1026,3011,76,14,2022-02-28 21:00:20+00:00,2022-12-02 00:04:34+00:00,1.0,0
Jordan,5,4972,10098,15070,408,94,2020-11-07 01:04:23+00:00,2022-03-11 17:22:18+00:00,1.0,0
Tristan,29,3564,439,4003,73,13,2019-06-07 21:18:04+00:00,2022-03-04 20:17:16+00:00,1.0,0
Manuel,13,14977,5483,20460,300,35,2022-04-06 19:12:55+00:00,2024-03-07 15:15:42+00:00,1.0,0
De Cola,27,1985,1026,3011,76,14,2022-02-28 21:00:20+00:00,2022-12-02 00:04:34+00:00,1.0,0
Arjun,51,1748,1020,2768,156,6,2022-05-06 14:49:46+00:00,2022-09-27 16:20:22+00:00,1.0,0
Andreas,4,7598,3349,10947,246,110,2022-10-23 13:39:05+00:00,2024-10-19 10:14:49+00:00,1.0,0
Mark,1,62532,53015,115547,3533,239,2022-03-14 14:27:03+00:00,2024-10-21 08:45:38+00:00,1.0,0
John U,35,2275,945,3220,111,10,2022-02-06 23:28:27+00:00,2023-04-09 10:26:37+00:00,1.0,0
Markus,16,2889,1528,4417,113,27,2022-01-13 18:41:53+00:00,2022-12-09 14:54:34+00:00,1.0,0
