name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Zhichao Wang](https://www.linkedin.com,,,,,,,,,0.0,1
Jeff Handler](https://www.linkedin.com,150.0,1827.0,1144.0,2971.0,2.0,1.0,2021-05-10 21:27:15+00:00,2021-05-10 21:27:15+00:00,1.0,1
Jian Zhang](https://www.linkedin.com,,,,,,,,,0.0,0
Hechao Sun](https://www.linkedin.com,,,,,,,,,0.0,0
Qi Wang](https://www.linkedin.com,83.0,245.0,0.0,245.0,1.0,1.0,2021-09-30 01:52:03+00:00,2021-09-30 01:52:03+00:00,1.0,0
Xiaodong Jiang](https://www.linkedin.com,3.0,6195.0,11759.0,17954.0,463.0,49.0,2021-03-31 19:35:38+00:00,2022-08-05 23:45:35+00:00,1.0,0
Nikolay Pavlovich Laptev](http://www.nikolaylaptev.com/),,,,,,,,,0.0,0
Sean Lee,31.0,391.0,19.0,410.0,5.0,3.0,2021-12-17 19:23:03+00:00,2022-09-08 03:33:33+00:00,1.0,0
Yang Yu](https://www.linkedin.com,8.0,2179.0,999.0,3178.0,58.0,27.0,2021-04-23 21:47:31+00:00,2022-09-28 19:56:13+00:00,1.0,0
Ploy Temiyasathit](https://www.linkedin.com,,,,,,,,,0.0,0
Sourav Chatterjee](https://www.linkedin.com,19.0,520.0,516.0,1036.0,14.0,8.0,2021-04-23 22:03:07+00:00,2022-08-25 15:49:20+00:00,1.0,0
William Luo](https://www.linkedin.com,,,,,,,,,0.0,0
Kun Jiang](https://www.linkedin.com,,,,,,,,,0.0,0
Emre Yurtbay](https://www.linkedin.com,,,,,,,,,0.0,0
Rui Yan](https://www.linkedin.com,,,,,,,,,0.0,0
Peiyi Zhang](https://www.linkedin.com,4.0,6029.0,2325.0,8354.0,81.0,45.0,2022-10-08 00:54:30+00:00,2023-04-27 18:11:26+00:00,1.0,0
Rohan Bopardikar](https://www.linkedin.com,6.0,17932.0,2362.0,20294.0,50.0,32.0,2021-04-27 16:57:17+00:00,2022-04-07 03:18:49+00:00,1.0,0
Dawei Li](https://www.linkedin.com,12.0,2038.0,568.0,2606.0,22.0,12.0,2021-03-31 14:06:47+00:00,2021-09-01 22:13:55+00:00,1.0,0
Yanjun Lin](https://www.linkedin.com,23.0,242.0,151.0,393.0,11.0,6.0,2021-04-30 06:31:29+00:00,2021-10-05 22:56:03+00:00,1.0,0
Aida Shoydokova](https://www.linkedin.com,16.0,931.0,63.0,994.0,15.0,8.0,2022-05-04 23:29:21+00:00,2022-09-15 19:50:30+00:00,1.0,0
Pietari Pulkkinen](https://www.linkedin.com,57.0,277.0,26.0,303.0,2.0,1.0,2021-10-22 00:34:47+00:00,2021-10-22 00:34:47+00:00,1.0,0
Sudeep Srivastava](https://www.linkedin.com,,,,,,,,,0.0,0
Daniel Dequech](https://www.linkedin.com,,,,,,,,,0.0,0
Marius Guerard](https://www.linkedin.com,14.0,850.0,201.0,1051.0,19.0,11.0,2021-07-27 00:04:02+00:00,2022-02-03 18:42:21+00:00,1.0,0
Rakshita Nagalla](https://www.linkedin.com,34.0,280.0,276.0,556.0,10.0,3.0,2021-04-27 06:25:51+00:00,2021-05-20 23:08:47+00:00,1.0,0
Caner Komurlu](https://www.linkedin.com,54.0,32.0,30.0,62.0,2.0,2.0,2021-12-17 19:43:41+00:00,2022-08-25 21:32:50+00:00,1.0,0
Michael Brundage](https://www.linkedin.com,1.0,19308.0,9792.0,29100.0,875.0,120.0,2021-06-08 22:40:02+00:00,2022-09-16 18:04:07+00:00,1.0,0
Ahmet Koylan](https://www.linkedin.com,26.0,28030.0,18523.0,46553.0,468.0,5.0,2021-06-04 00:28:55+00:00,2021-06-11 22:57:42+00:00,1.0,0
