name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Richong Zhang,,,,,,,,,0.0,1
Junhao Zhang,,,,,,,,,0.0,1
Luceri,,,,,,,,,0.0,0
Wang,7.0,38.0,24.0,62.0,14.0,12.0,2023-12-12 03:47:59+00:00,2023-12-12 07:00:37+00:00,1.0,0
Yang,70.0,3.0,2.0,5.0,1.0,1.0,2024-09-19 06:54:28+00:00,2024-09-19 06:54:28+00:00,1.0,0
Zhang,97.0,30.0,3.0,33.0,6.0,1.0,2024-07-18 07:30:25+00:00,2024-07-18 07:30:25+00:00,1.0,0
Yi,58.0,160.0,0.0,160.0,1.0,1.0,2023-08-15 03:13:45+00:00,2023-08-15 03:13:45+00:00,1.0,0
Kim,74.0,4.0,1.0,5.0,1.0,1.0,2024-06-12 07:49:12+00:00,2024-06-12 07:49:12+00:00,1.0,0
Huang,111.0,1.0,0.0,1.0,1.0,1.0,2024-07-19 07:02:54+00:00,2024-07-19 07:02:54+00:00,1.0,0
Ma,4.0,340.0,85.0,425.0,39.0,27.0,2024-04-07 03:34:01+00:00,2024-08-13 08:13:10+00:00,1.0,0
Yongqiang Ma,65.0,1.0,1.0,2.0,1.0,1.0,2023-09-05 02:38:01+00:00,2023-09-05 02:38:01+00:00,1.0,0
Wu,,,,,,,,,0.0,0
Zhou,42.0,5939.0,8.0,5947.0,15.0,2.0,2024-05-17 05:09:17+00:00,2024-06-03 13:32:38+00:00,1.0,0
Schwertfeger,,,,,,,,,0.0,0
Yu,12.0,650.0,310.0,960.0,17.0,8.0,2023-11-29 12:36:55+00:00,2023-12-08 10:13:26+00:00,1.0,0
Cao,9.0,266.0,43.0,309.0,22.0,11.0,2024-05-28 01:33:54+00:00,2024-08-21 09:12:38+00:00,1.0,0
Liu,40.0,22.0,10.0,32.0,2.0,2.0,2024-01-16 07:16:20+00:00,2024-04-15 04:11:49+00:00,1.0,0
Du,104.0,2.0,1.0,3.0,1.0,1.0,2024-06-11 08:21:48+00:00,2024-06-11 08:21:48+00:00,1.0,0
Zheyan Luo,,,,,,,,,0.0,0
Acikgoz,,,,,,,,,0.0,0
Choi,,,,,,,,,0.0,0
Lyu,,,,,,,,,0.0,0
Yanhan Ye,,,,,,,,,0.0,0
Homer Simpson,,,,,,,,,0.0,0
Xie,,,,,,,,,0.0,0
Luo,,,,,,,,,0.0,0
Bhardwaj,104.0,2.0,1.0,3.0,1.0,1.0,2024-06-11 08:21:48+00:00,2024-06-11 08:21:48+00:00,1.0,0
Deng,104.0,2.0,1.0,3.0,1.0,1.0,2024-06-11 08:21:48+00:00,2024-06-11 08:21:48+00:00,1.0,0
Duan,104.0,2.0,1.0,3.0,1.0,1.0,2024-06-11 08:21:48+00:00,2024-06-11 08:21:48+00:00,1.0,0
Shang,114.0,5.0,5.0,10.0,1.0,1.0,2023-07-11 22:03:53+00:00,2023-07-11 22:03:53+00:00,1.0,0
Hongbin Na.,,,,,,,,,0.0,0
Weller,,,,,,,,,0.0,0
