name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
"Jingdong
             ",366.0,1.0,1.0,2.0,1.0,1.0,2019-06-25 12:06:41+00:00,2019-06-25 12:06:41+00:00,1.0,1
Shuyang,172.0,5.0,3.0,8.0,1.0,1.0,2019-08-31 15:41:40+00:00,2019-08-31 15:41:40+00:00,1.0,1
Rui,6.0,22485.0,32390.0,54875.0,1678.0,109.0,2019-05-15 05:08:55+00:00,2021-08-30 15:14:04+00:00,1.0,0
Jianping,,,,,,,,,0.0,0
Yuhang,4.0,21362.0,18275.0,39637.0,1146.0,156.0,2018-12-06 13:44:50+00:00,2021-10-25 11:16:45+00:00,1.0,0
Wanli,,,,,,,,,0.0,0
Cheng,140.0,817.0,25.0,842.0,8.0,2.0,2019-08-14 03:32:09+00:00,2019-08-31 15:42:11+00:00,1.0,0
Buyu,177.0,320.0,2.0,322.0,5.0,1.0,2019-05-28 11:44:27+00:00,2019-05-28 11:44:27+00:00,1.0,0
Zhu,169.0,1.0,1.0,2.0,1.0,1.0,2019-10-14 15:27:23+00:00,2019-10-14 15:27:23+00:00,1.0,0
Dahua,58.0,832.0,34.0,866.0,7.0,5.0,2018-08-22 07:06:07+00:00,2018-09-09 08:51:45+00:00,1.0,0
Jiangmiao,18.0,3319.0,603.0,3922.0,162.0,22.0,2019-02-17 13:23:54+00:00,2021-08-24 13:00:57+00:00,1.0,0
Loy,366.0,1.0,1.0,2.0,1.0,1.0,2019-06-25 12:06:41+00:00,2019-06-25 12:06:41+00:00,1.0,0
Wansen,,,,,,,,,0.0,0
Zhang,3.0,23273.0,10163.0,33436.0,1206.0,181.0,2019-10-25 11:47:37+00:00,2022-11-05 05:36:14+00:00,1.0,0
Yue,22.0,1515.0,417.0,1932.0,73.0,19.0,2020-07-08 14:06:20+00:00,2023-02-14 07:03:24+00:00,1.0,0
Jiaqi,26.0,5926.0,225.0,6151.0,74.0,13.0,2019-05-13 09:21:29+00:00,2020-04-03 16:17:13+00:00,1.0,0
Tianheng,140.0,817.0,25.0,842.0,8.0,2.0,2019-08-14 03:32:09+00:00,2019-08-31 15:42:11+00:00,1.0,0
and Shi,,,,,,,,,0.0,0
Ziwei,,,,,,,,,0.0,0
Chenchen,,,,,,,,,0.0,0
Qijie,,,,,,,,,0.0,0
Chen,1.0,39287.0,20926.0,60213.0,1942.0,311.0,2018-09-02 14:40:43+00:00,2022-05-13 09:15:22+00:00,1.0,0
Wang,8.0,19253.0,10038.0,29291.0,649.0,60.0,2021-08-30 15:15:15+00:00,2022-11-15 03:54:47+00:00,1.0,0
Jiarui,6.0,22485.0,32390.0,54875.0,1678.0,109.0,2019-05-15 05:08:55+00:00,2021-08-30 15:14:04+00:00,1.0,0
Dazhi,,,,,,,,,0.0,0
Wu,41.0,85.0,91.0,176.0,45.0,8.0,2019-07-13 14:54:49+00:00,2019-10-24 09:17:43+00:00,1.0,0
Jifeng,,,,,,,,,0.0,0
Xiaoxiao,366.0,1.0,1.0,2.0,1.0,1.0,2019-06-25 12:06:41+00:00,2019-06-25 12:06:41+00:00,1.0,0
Yu,4.0,21362.0,18275.0,39637.0,1146.0,156.0,2018-12-06 13:44:50+00:00,2021-10-25 11:16:45+00:00,1.0,0
Kai,1.0,39287.0,20926.0,60213.0,1942.0,311.0,2018-09-02 14:40:43+00:00,2022-05-13 09:15:22+00:00,1.0,0
Lin,12.0,6980.0,1031.0,8011.0,272.0,40.0,2021-05-23 08:11:04+00:00,2022-02-24 15:11:52+00:00,1.0,0
Xin,16.0,2456.0,334.0,2790.0,90.0,23.0,2020-05-24 08:19:43+00:00,2023-09-26 03:25:38+00:00,1.0,0
