name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Zhanghui,,,,,,,,,0.0,1
Li,4.0,19718.0,11732.0,31450.0,727.0,84.0,2021-10-20 11:55:57+00:00,2023-04-17 09:03:45+00:00,1.0,1
Tong,1.0,69334.0,47264.0,116598.0,3149.0,397.0,2021-06-08 09:52:32+00:00,2023-04-10 07:38:09+00:00,1.0,0
Hongbin,2.0,69160.0,56818.0,125978.0,1418.0,114.0,2021-04-02 15:54:57+00:00,2022-05-03 09:28:22+00:00,1.0,0
Zhu,38.0,1.0,1.0,2.0,1.0,1.0,2022-12-14 08:10:55+00:00,2022-12-14 08:10:55+00:00,1.0,0
Xiaoyu,53.0,1381.0,1.0,1382.0,18.0,1.0,2021-04-02 16:52:49+00:00,2021-04-02 16:52:49+00:00,1.0,0
Chen,13.0,3469.0,158.0,3627.0,50.0,8.0,2021-04-06 10:20:43+00:00,2021-12-13 09:45:30+00:00,1.0,0
Zhang,23.0,258.0,18.0,276.0,4.0,3.0,2022-03-11 02:10:06+00:00,2022-03-17 11:53:13+00:00,1.0,0
Yiqin,,,,,,,,,0.0,0
Lin,10.0,2602.0,260.0,2862.0,52.0,21.0,2021-04-13 03:53:57+00:00,2021-07-08 13:52:50+00:00,1.0,0
Dahua,,,,,,,,,0.0,0
Zhizhong,,,,,,,,,0.0,0
Kai,79.0,1.0,1.0,2.0,1.0,1.0,2021-04-08 04:07:28+00:00,2021-04-08 04:07:28+00:00,1.0,0
Huaqiang,,,,,,,,,0.0,0
Wayne,,,,,,,,,0.0,0
Jianyong,13.0,3469.0,158.0,3627.0,50.0,8.0,2021-04-06 10:20:43+00:00,2021-12-13 09:45:30+00:00,1.0,0
Wenwei,,,,,,,,,0.0,0
Gao,1.0,69334.0,47264.0,116598.0,3149.0,397.0,2021-06-08 09:52:32+00:00,2023-04-10 07:38:09+00:00,1.0,0
Tsui Hin,,,,,,,,,0.0,0
