name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Pham,,,,,,,,,0.0,1
Gretchen Krueger,,,,,,,,,0.0,1
Alec Radford](https://github.com,,,,,,,,,0.0,0
Schuhmann,,,,,,,,,0.0,0
Nicholas Carlini](https://nicholas.carlini.com/,14.0,29.0,13.0,42.0,7.0,5.0,2021-08-03 07:49:23+00:00,2022-05-05 03:24:48+00:00,1.0,0
Jong Wook Kim](https://jongwook.kim/),,,,,,,,,0.0,0
torch,,,,,,,,,0.0,0
Jenia Jitsev,,,,,,,,,0.0,0
Namkoong,,,,,,,,,0.0,0
Theo Coombes,,,,,,,,,0.0,0
Hongseok Namkoong](https://hsnamkoong.github.io/,,,,,,,,,0.0,0
Mehdi,19.0,72.0,9.0,81.0,7.0,4.0,2022-09-26 12:52:41+00:00,2023-09-30 16:36:12+00:00,1.0,0
Cade Gordon](http://cadegordon.io/,17.0,7.0,6.0,13.0,4.0,4.0,2022-07-25 23:31:31+00:00,2022-07-28 18:18:19+00:00,1.0,0
Patrick Schramowski,,,,,,,,,0.0,0
Mehdi Cherti,19.0,72.0,9.0,81.0,7.0,4.0,2022-09-26 12:52:41+00:00,2023-09-30 16:36:12+00:00,1.0,0
Mitchell Wortsman,3.0,4060.0,82.0,4142.0,77.0,38.0,2021-07-28 23:24:40+00:00,2023-11-02 04:29:35+00:00,1.0,0
Vaishaal,20.0,14.0,7.0,21.0,4.0,3.0,2022-03-15 16:50:13+00:00,2024-05-22 20:16:37+00:00,1.0,0
Wightman,1.0,6675.0,3362.0,10037.0,432.0,158.0,2022-01-09 22:35:56+00:00,2024-10-21 22:05:26+00:00,1.0,0
Rohan,,,,,,,,,0.0,0
A. Ramesh,,,,,,,,,0.0,0
Romain Beaumont](https://github.com,2.0,2640.0,326.0,2966.0,130.0,64.0,2022-04-05 21:11:15+00:00,2024-01-08 10:35:29+00:00,1.0,0
Schmidt,21.0,5.0,5.0,10.0,3.0,3.0,2021-12-21 22:21:28+00:00,2022-04-05 04:27:12+00:00,1.0,0
Romain,2.0,2640.0,326.0,2966.0,130.0,64.0,2022-04-05 21:11:15+00:00,2024-01-08 10:35:29+00:00,1.0,0
Ilya Sutskever,,,,,,,,,0.0,0
Hannaneh Hajishirzi](https://homes.cs.washington.edu/~hannaneh/,,,,,,,,,0.0,0
Rohan Taori](https://www.rohantaori.com/,,,,,,,,,0.0,0
Ross Wightman](https://rwightman.com/,1.0,6675.0,3362.0,10037.0,432.0,158.0,2022-01-09 22:35:56+00:00,2024-10-21 22:05:26+00:00,1.0,0
Hannaneh,,,,,,,,,0.0,0
Ludwig Schmidt](https://people.csail.mit.edu,21.0,5.0,5.0,10.0,3.0,3.0,2021-12-21 22:21:28+00:00,2022-04-05 04:27:12+00:00,1.0,0
Katherine Crowson,,,,,,,,,0.0,0
Ludwig Schmidt,21.0,5.0,5.0,10.0,3.0,3.0,2021-12-21 22:21:28+00:00,2022-04-05 04:27:12+00:00,1.0,0
Ludwig,21.0,5.0,5.0,10.0,3.0,3.0,2021-12-21 22:21:28+00:00,2022-04-05 04:27:12+00:00,1.0,0
Jong Wook Kim,,,,,,,,,0.0,0
Farhadi,,,,,,,,,0.0,0
Robert Kaczmarczyk,,,,,,,,,0.0,0
Mitchell Wortsman*](https://mitchellnw.github.io/,34.0,1.0,2.0,3.0,1.0,1.0,2023-04-16 18:34:19+00:00,2023-04-16 18:34:19+00:00,1.0,0
Achal,,,,,,,,,0.0,0
Jenia,15.0,77.0,25.0,102.0,9.0,5.0,2022-05-23 12:07:09+00:00,2023-01-17 23:21:44+00:00,1.0,0
Ali Farhadi](https://homes.cs.washington.edu/~ali/,,,,,,,,,0.0,0
Srivatsa R Kundurthy,,,,,,,,,0.0,0
Pamela Mishkin,,,,,,,,,0.0,0
Romain Beaumont,2.0,2640.0,326.0,2966.0,130.0,64.0,2022-04-05 21:11:15+00:00,2024-01-08 10:35:29+00:00,1.0,0
Gabriel Goh,,,,,,,,,0.0,0
Richard Vencu,,,,,,,,,0.0,0
Ilharco,5.0,1312.0,673.0,1985.0,49.0,29.0,2021-07-30 15:54:57+00:00,2023-12-03 20:26:56+00:00,1.0,0
Taori,,,,,,,,,0.0,0
"John and
                  Hajishirzi",,,,,,,,,0.0,0
Jack Clark,,,,,,,,,0.0,0
Ali,28.0,4.0,4.0,8.0,3.0,2.0,2023-10-09 15:38:08+00:00,2023-10-12 10:38:31+00:00,1.0,0
Hongseok,,,,,,,,,0.0,0
Nicholas,14.0,29.0,13.0,42.0,7.0,5.0,2021-08-03 07:49:23+00:00,2022-05-05 03:24:48+00:00,1.0,0
Gabriel Ilharco*](http://gabrielilharco.com/,7.0,654.0,66.0,720.0,46.0,23.0,2021-11-14 19:01:13+00:00,2023-11-01 05:26:30+00:00,1.0,0
Cade,8.0,237.0,85.0,322.0,23.0,22.0,2021-11-18 22:19:36+00:00,2022-04-25 03:55:31+00:00,1.0,0
Mitchell,3.0,4060.0,82.0,4142.0,77.0,38.0,2021-07-28 23:24:40+00:00,2023-11-02 04:29:35+00:00,1.0,0
Sandhini Agarwal,,,,,,,,,0.0,0
Ross,1.0,6675.0,3362.0,10037.0,432.0,158.0,2022-01-09 22:35:56+00:00,2024-10-21 22:05:26+00:00,1.0,0
Christoph,,,,,,,,,0.0,0
Gabriel,5.0,1312.0,673.0,1985.0,49.0,29.0,2021-07-30 15:54:57+00:00,2023-12-03 20:26:56+00:00,1.0,0
Vaishaal Shankar](http://vaishaal.com/,,,,,,,,,0.0,0
Dave,,,,,,,,,0.0,0
Chris Hallacy,,,,,,,,,0.0,0
Jitsev,15.0,77.0,25.0,102.0,9.0,5.0,2022-05-23 12:07:09+00:00,2023-01-17 23:21:44+00:00,1.0,0
Carlini,14.0,29.0,13.0,42.0,7.0,5.0,2021-08-03 07:49:23+00:00,2022-05-05 03:24:48+00:00,1.0,0
Amanda Askell,,,,,,,,,0.0,0
John Miller](https://people.eecs.berkeley.edu/~miller_john/,,,,,,,,,0.0,0
Aarush Katta,,,,,,,,,0.0,0
Gordon,8.0,237.0,85.0,322.0,23.0,22.0,2021-11-18 22:19:36+00:00,2022-04-25 03:55:31+00:00,1.0,0
Clayton Mullis,,,,,,,,,0.0,0
Shankar,20.0,14.0,7.0,21.0,4.0,3.0,2022-03-15 16:50:13+00:00,2024-05-22 20:16:37+00:00,1.0,0
Girish Sastry,,,,,,,,,0.0,0
Cade W Gordon,17.0,7.0,6.0,13.0,4.0,4.0,2022-07-25 23:31:31+00:00,2022-07-28 18:18:19+00:00,1.0,0
Achal Dave](http://www.achaldave.com/,,,,,,,,,0.0,0
Ross Wightman,1.0,6675.0,3362.0,10037.0,432.0,158.0,2022-01-09 22:35:56+00:00,2024-10-21 22:05:26+00:00,1.0,0
