login,name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
jreback,,3206,2,2,4,1,1,2017-08-03 01:05:07+00:00,2017-08-03 01:05:07+00:00,0.5,1
wesm,,2,352051,240356,592407,9840,2984,2009-07-31 15:07:16+00:00,2013-06-23 23:43:34+00:00,0.5,1
willayd,Will Ayd,33,17325,15915,33240,572,127,2019-04-24 21:00:56+00:00,2024-08-23 18:31:35+00:00,1.0,0
datapythonista,,1763,68,16,84,3,1,2016-04-17 16:23:02+00:00,2016-04-17 16:23:02+00:00,0.5,0
jreback1,Jeff Reback,3206,2,2,4,1,1,2017-08-03 01:05:07+00:00,2017-08-03 01:05:07+00:00,1.0,0
lithomas1,Thomas Li,20,9317,3646,12963,946,238,2019-12-13 13:17:24+00:00,2024-05-10 17:40:15+00:00,1.0,0
MarcoGorelli,Marco Gorelli,26,10557,7229,17786,1326,168,2019-08-15 20:27:17+00:00,2023-05-05 17:43:55+00:00,1.0,0
tomaugspurger,,10,63251,35919,99170,3659,586,2016-08-22 20:35:12+00:00,2020-11-15 17:27:48+00:00,0.5,0
jbrockmendel,Brock Mendel,1,349724,328300,678024,23978,4832,2017-07-11 10:01:12+00:00,2024-09-02 18:47:39+00:00,1.0,0
jorisvandenbossche,Joris Van den Bossche,5,189978,168006,357984,5196,1080,2013-07-09 12:44:48+00:00,2024-09-02 18:00:59+00:00,1.0,0
simonjayhawkins,Simon Hawkins,9,40766,31001,71767,2860,622,2018-09-09 17:11:29+00:00,2022-08-30 20:39:30+00:00,1.0,0
