name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Jakub Lála,,,,,,,,,0.0,0
Odhran O'Donoghue,10.0,85.0,19.0,104.0,6.0,2.0,2023-07-24 19:06:36+00:00,2023-08-07 16:17:30+00:00,1.0,0
Aleksandar Shtedritski,,,,,,,,,0.0,0
Samuel G. Rodriques,,,,,,,,,0.0,0
Qian,,,,,,,,,0.0,0
Jon M. Laurent,,,,,,,,,0.0,0
Andres M. Bran,,,,,,,,,0.0,0
Sam Cox,,,,,,,,,0.0,0
Michael D. Skarlinski,3.0,84218.0,19220.0,103438.0,219.0,27.0,2024-03-13 16:57:09+00:00,2024-11-06 20:55:45+00:00,1.0,0
Bruck,,,,,,,,,0.0,0
Carlo Baldassari,,,,,,,,,0.0,0
Manvitha Ponnapati,,,,,,,,,0.0,0
Oliver Schilter,,,,,,,,,0.0,0
Philippe Schwaller,,,,,,,,,0.0,0
Michaela Hinks,,,,,,,,,0.0,0
Andrew D. White,1.0,21657.0,15910.0,37567.0,697.0,212.0,2023-02-05 01:07:26+00:00,2024-11-09 00:57:36+00:00,1.0,0
Winfree,,,,,,,,,0.0,0
James D. Braza,2.0,145760.0,111643.0,257403.0,630.0,177.0,2024-03-02 21:07:55+00:00,2024-11-14 18:59:31+00:00,1.0,0
Michael J. Hammerling,,,,,,,,,0.0,0
