name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Jeff Barrera](https://github.com,,,,,,,,,0.0,1
Anssi Nurminen's,,,,,,,,,0.0,1
Aron Weiler](https://github.com,,,,,,,,,0.0,0
Samkit Jain](https://github.com,,,,,,,,,0.0,0
Léo Roux](https://github.com,,,,,,,,,0.0,0
Shannon Shen](https://github.com,16.0,3.0,11.0,14.0,2.0,1.0,2023-04-07 23:27:47+00:00,2023-04-07 23:27:47+00:00,1.0,0
Echedey Luis](https://github.com,,,,,,,,,0.0,0
Andy Friedman](https://github.com,4.0,102.0,59.0,161.0,27.0,4.0,2023-11-01 17:54:10+00:00,2023-11-04 20:33:11+00:00,1.0,0
Oisín Moran](https://github.com,22.0,1.0,1.0,2.0,1.0,1.0,2018-10-19 23:35:10+00:00,2018-10-19 23:35:10+00:00,1.0,0
Bob Lannon](https://github.com,33.0,3.0,0.0,3.0,1.0,1.0,2016-12-09 00:14:48+00:00,2016-12-09 00:14:48+00:00,1.0,0
Kwok-kuen Cheung](https://github.com,13.0,11.0,5.0,16.0,2.0,1.0,2020-02-04 11:24:05+00:00,2020-02-04 11:24:05+00:00,1.0,0
Ethan Corey](https://github.com,16.0,3.0,11.0,14.0,2.0,1.0,2023-04-07 23:27:47+00:00,2023-04-07 23:27:47+00:00,1.0,0
Dan Nguyen](https://github.com,,,,,,,,,0.0,0
Francisco Aranda](https://github.com,,,,,,,,,0.0,0
Jeremy Singer-Vine](https://github.com,1.0,69120.0,8742.0,77862.0,1169.0,538.0,2015-08-24 03:12:56+00:00,2024-08-18 23:41:05+00:00,1.0,0
Quentin André](https://github.com,,,,,,,,,0.0,0
Dustin Tindall](https://github.com,,,,,,,,,0.0,0
Jeremy B. Merrill](https://github.com,27.0,35.0,8.0,43.0,1.0,1.0,2023-08-12 21:03:39+00:00,2023-08-12 21:03:39+00:00,1.0,0
Matsumoto Toshi](https://github.com,,,,,,,,,0.0,0
