name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Vieira R,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,1
Carroll C,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,1
Lao J,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,0
Andreani V,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,0
Dong L,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,0
Luhmann,102,242,138,380,15,6,2020-08-30 20:33:54+00:00,2023-04-20 03:55:35+00:00,1.0,0
John Kruschke,313,6,6,12,1,1,2022-03-16 07:42:37+00:00,2022-03-16 07:42:37+00:00,1.0,0
Alex Andorra,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,0
Kumar R,165,1244,808,2052,159,3,2020-12-07 12:39:00+00:00,2021-02-05 13:41:32+00:00,1.0,0
Kochurov M,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,0
Martin OA,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,0
Wiecki,5,124653,150550,275203,1924,532,2012-01-13 16:17:54+00:00,2024-07-17 07:19:46+00:00,1.0,0
Fonnesbeck CJ,188,282,196,478,7,3,2022-08-31 19:14:28+00:00,2022-08-31 20:32:38+00:00,1.0,0
Osvaldo Martin,11,18734,17447,36181,545,215,2014-07-17 20:08:26+00:00,2024-08-14 15:02:03+00:00,1.0,0
Michael Lee,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,0
Osthege M,313,6,6,12,1,1,2022-03-16 07:42:37+00:00,2022-03-16 07:42:37+00:00,1.0,0
EJ Wagenmakers,313,6,6,12,1,1,2022-03-16 07:42:37+00:00,2022-03-16 07:42:37+00:00,1.0,0
Zinkov R.,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,0
Richard McElreath,376,0,0,0,0,1,2006-08-07 15:22:29+00:00,2006-08-07 15:22:29+00:00,1.0,0
