name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Eric Keilty,,,,,,,,,0.0,0
Kailun Yan,,,,,,,,,0.0,0
Muhammad Janjua,,,,,,,,,0.0,0
Jilian Zhang,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Hoang Nguyen,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Teng Huang,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Gustavo Grieco,15.0,829.0,203.0,1032.0,71.0,26.0,2019-04-18 12:46:47+00:00,2020-11-19 11:53:14+00:00,1.0,0
Qingzhao Zhang,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Shuvendu K. Lahiri,,,,,,,,,0.0,0
Jiao Jiao,,,,,,,,,0.0,0
Fan Long,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Leodardo Pasos,,,,,,,,,0.0,0
Bryan Tan,,,,,,,,,0.0,0
Daniel Kudendo,,,,,,,,,0.0,0
Ben Mariano,,,,,,,,,0.0,0
Abhik Roychoudhury,,,,,,,,,0.0,0
Yang Cao,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Xiaodong Qi,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Bernhard Beckert,,,,,,,,,0.0,0
Juanru Li,,,,,,,,,0.0,0
Dung Nguyen,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Lingxiao Jiang|,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Vanesa Daza,,,,,,,,,0.0,0
Yun Peng,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Frederik Reiche,,,,,,,,,0.0,0
Toan Trieu,,,,,,,,,0.0,0
Zahra Ahmadi,,,,,,,,,0.0,0
Rui Ma,,,,,,,,,0.0,0
Hoang H Nguyen,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Jonas Schiffl,,,,,,,,,0.0,0
Dipanjan Das,,,,,,,,,0.0,0
Sidi Mohamed Beillahi,,,,,,,,,0.0,0
Siqi Ma,,,,,,,,,0.0,0
Steven Stewart,74.0,2.0,2.0,4.0,2.0,2.0,2018-11-07 15:48:22+00:00,2018-11-07 15:48:27+00:00,1.0,0
Jan-Philipp Toberg,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Yanju Chen,,,,,,,,,0.0,0
Zhenchang Xing,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Ştefan-Claudiu Susan,,,,,,,,,0.0,0
David Lo,,,,,,,,,0.0,0
Yi Li,,,,,,,,,0.0,0
Alex Groce,68.0,7.0,4.0,11.0,5.0,3.0,2019-03-04 14:58:13+00:00,2019-08-21 11:42:28+00:00,1.0,0
Robert Heinrich,,,,,,,,,0.0,0
Zefeng Jian,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Giovanni Vigna,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Yizhuo Wang,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Guangyuan Chen,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Priyanka Bose,122.0,14.0,14.0,28.0,6.0,1.0,2022-04-01 12:25:38+00:00,2022-04-01 12:25:38+00:00,1.0,0
Sebastian Banescu,,,,,,,,,0.0,0
Xin Xia,,,,,,,,,0.0,0
Huanchun Wei,,,,,,,,,0.0,0
Tam Bang,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Chunmiao Li,,,,,,,,,0.0,0
Changjing Wang,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Tania Saleem,,,,,,,,,0.0,0
Ke Ma,,,,,,,,,0.0,0
Christopher Kruegel,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Andreas Veneris,,,,,,,,,0.0,0
Zhengkang Zuo,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Xiao Liang Yu,75.0,9.0,4.0,13.0,3.0,2.0,2019-05-14 20:32:21+00:00,2019-10-28 09:15:38+00:00,1.0,0
Maha Ayub,,,,,,,,,0.0,0
Thanh-Nam Doan,,,,,,,,,0.0,0
Wenrui Diao,,,,,,,,,0.0,0
Ralf Reussner,,,,,,,,,0.0,0
Chunyao Xie,,,,,,,,,0.0,0
Shuvendu Lahiri,,,,,,,,,0.0,0
Omar Al,,,,,,,,,0.0,0
William Zhang,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Andrei Arusoaie,,,,,,,,,0.0,0
Yijun Yu,,,,,,,,,0.0,0
Dianshu Liao,,,,,,,,,0.0,0
Slither,,,,,,,,,0.0,0
Keerthi Nelaturu,,,,,,,,,0.0,0
Benjamin Mariano,,,,,,,,,0.0,0
Isil Dillig,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Weichu Deng,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Talha Ahmad,,,,,,,,,0.0,0
Zhenjiang Hu,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Victor Adan,,,,,,,,,0.0,0
Xuan Hu,,,,,,,,,0.0,0
Nhat-Minh Nguyen,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Qing Huang,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Yujia Chen,,,,,,,,,0.0,0
Shanqing Guo,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Shijie Nie,,,,,,,,,0.0,0
Mazorra,,,,,,,,,0.0,0
Vijay Ganesh,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Yu Feng,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Cong Cao,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
Bruno,,,,,,,,,0.0,0
Tho Quan,,,,,,,,,0.0,0
Josselin Feist,1.0,268561.0,162668.0,431229.0,17336.0,1319.0,2018-09-05 22:04:33+00:00,2024-10-02 09:34:18+00:00,1.0,0
Xiangyu Liu,116.0,24.0,22.0,46.0,2.0,1.0,2019-04-20 21:56:26+00:00,2019-04-20 21:56:26+00:00,1.0,0
