name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Garg,,,,,,,,,0.0,0
F.,,,,,,,,,0.0,0
J. Krishna,,,,,,,,,0.0,0
D.,,,,,,,,,0.0,0
Macklin,1.0,266404.0,156883.0,423287.0,3977.0,727.0,2021-04-15 04:51:35+00:00,2024-10-24 04:39:21+00:00,1.0,0
V.,,,,,,,,,0.0,0
Xu,,,,,,,,,0.0,0
Fox,,,,,,,,,0.0,0
Miles Macklin,1.0,266404.0,156883.0,423287.0,3977.0,727.0,2021-04-15 04:51:35+00:00,2024-10-24 04:39:21+00:00,1.0,0
Florian Golemo,,,,,,,,,0.0,0
Vikram Voleti,,,,,,,,,0.0,0
{Miles Macklin,1.0,266404.0,156883.0,423287.0,3977.0,727.0,2021-04-15 04:51:35+00:00,2024-10-24 04:39:21+00:00,1.0,0
Heiden,6.0,25294.0,12716.0,38010.0,389.0,167.0,2022-04-21 09:17:27+00:00,2024-01-06 10:03:43+00:00,1.0,0
W.,,,,,,,,,0.0,0
Narang,,,,,,,,,0.0,0
Ramos,,,,,,,,,0.0,0
Martin Weiss,,,,,,,,,0.0,0
Matusik,,,,,,,,,0.0,0
Linda Petrini,,,,,,,,,0.0,0
Murthy,,,,,,,,,0.0,0
J.,,,,,,,,,0.0,0
Breandan Considine,,,,,,,,,0.0,0
Makoviychuk,,,,,,,,,0.0,0
