name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Victor,29.0,4543.0,41.0,4584.0,151.0,15.0,2020-11-30 23:13:59+00:00,2022-01-03 17:39:01+00:00,1.0,0
von Platen,5.0,37372.0,747581.0,784953.0,4012.0,128.0,2020-04-21 10:32:26+00:00,2022-04-26 22:48:27+00:00,1.0,0
Teven,7.0,12826.0,8186.0,21012.0,230.0,62.0,2020-12-08 11:05:41+00:00,2023-08-17 19:13:14+00:00,1.0,0
Sylvain,34.0,195.0,138.0,333.0,18.0,11.0,2022-02-21 15:57:10+00:00,2024-08-22 14:33:52+00:00,1.0,0
Angelina,,,,,,,,,0.0,0
Joe,27.0,8716.0,68.0,8784.0,41.0,15.0,2020-08-17 21:14:06+00:00,2020-12-10 18:17:04+00:00,1.0,0
Suraj,15.0,8881.0,5.0,8886.0,89.0,30.0,2020-11-26 13:28:26+00:00,2021-02-24 18:05:08+00:00,1.0,0
Alexander,90.0,1249.0,3.0,1252.0,10.0,4.0,2020-12-08 17:41:22+00:00,2021-07-05 09:06:14+00:00,1.0,0
Chhablani,20.0,11116.0,1888.0,13004.0,193.0,20.0,2021-01-25 09:14:58+00:00,2022-04-12 07:51:15+00:00,1.0,0
Bhavitvya,13.0,6324.0,791.0,7115.0,589.0,34.0,2020-12-01 23:11:32+00:00,2022-02-21 15:58:15+00:00,1.0,0
Abhishek,10.0,12469.0,1.0,12470.0,119.0,40.0,2020-12-02 03:10:48+00:00,2021-02-18 14:47:28+00:00,1.0,0
Lewis,,,,,,,,,0.0,0
Villanova del Moral,2.0,40464.0,40713.0,81177.0,2495.0,698.0,2020-11-27 18:04:45+00:00,2024-10-16 17:06:19+00:00,1.0,0
Pierric,264.0,5.0,5.0,10.0,4.0,1.0,2020-10-23 08:42:10+00:00,2020-10-23 08:42:10+00:00,1.0,0
Albert,2.0,40464.0,40713.0,81177.0,2495.0,698.0,2020-11-27 18:04:45+00:00,2024-10-16 17:06:19+00:00,1.0,0
Lhoest,1.0,93950.0,397557.0,491507.0,6572.0,729.0,2020-04-30 19:52:48+00:00,2024-10-22 15:04:58+00:00,1.0,0
Canwen,42.0,1909.0,7.0,1916.0,22.0,10.0,2020-09-07 07:37:17+00:00,2020-12-04 13:31:57+00:00,1.0,0
Yacine,9.0,16427.0,4237.0,20664.0,752.0,48.0,2020-06-12 15:38:54+00:00,2021-05-14 13:23:12+00:00,1.0,0
Lysandre,93.0,636.0,12.0,648.0,10.0,4.0,2020-05-26 23:00:55+00:00,2021-11-24 11:25:36+00:00,1.0,0
Stas,129.0,47.0,25.0,72.0,5.0,3.0,2020-10-23 09:00:46+00:00,2021-03-01 14:43:19+00:00,1.0,0
Philipp,54.0,737.0,191.0,928.0,21.0,7.0,2021-01-26 17:02:07+00:00,2021-05-18 08:27:41+00:00,1.0,0
Mario,3.0,17098.0,12221.0,29319.0,1678.0,264.0,2020-09-16 06:52:43+00:00,2024-04-16 18:17:29+00:00,1.0,0
Patil,15.0,8881.0,5.0,8886.0,89.0,30.0,2020-11-26 13:28:26+00:00,2021-02-24 18:05:08+00:00,1.0,0
Patrick,5.0,37372.0,747581.0,784953.0,4012.0,128.0,2020-04-21 10:32:26+00:00,2022-04-26 22:48:27+00:00,1.0,0
Gunjan,20.0,11116.0,1888.0,13004.0,193.0,20.0,2021-01-25 09:14:58+00:00,2022-04-12 07:51:15+00:00,1.0,0
Mariama,14.0,9165.0,2570.0,11735.0,244.0,32.0,2020-04-14 10:17:57+00:00,2020-06-16 08:21:53+00:00,1.0,0
Julien,21.0,6744.0,3427.0,10171.0,88.0,20.0,2020-04-27 18:07:48+00:00,2020-12-04 15:51:45+00:00,1.0,0
Thibault,163.0,419.0,4.0,423.0,4.0,2.0,2021-09-21 09:39:04+00:00,2021-09-24 10:41:52+00:00,1.0,0
Simon  and,,,,,,,,,0.0,0
Nicolas,43.0,2882.0,14.0,2896.0,26.0,9.0,2020-09-07 12:33:29+00:00,2020-12-23 09:52:06+00:00,1.0,0
