name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Rathnayake T,,,,,,,,,0.0,0
Sumith,487.0,119.0,14.0,133.0,8.0,7.0,2015-02-15 06:41:15+00:00,2016-04-10 14:21:24+00:00,1.0,0
Kirpichev,9.0,12992.0,70886.0,83878.0,2307.0,848.0,2013-02-08 16:17:14+00:00,2016-06-25 17:30:42+00:00,1.0,0
Kirpichev SB,9.0,12992.0,70886.0,83878.0,2307.0,848.0,2013-02-08 16:17:14+00:00,2016-06-25 17:30:42+00:00,1.0,0
Terrel AR,,,,,,,,,0.0,0
Fredrik,80.0,28438.0,7375.0,35813.0,471.0,119.0,2007-07-24 22:10:00+00:00,2011-07-07 11:51:42+00:00,1.0,0
Paprocki,4.0,165423.0,89321.0,254744.0,5190.0,1417.0,2007-07-19 21:07:03+00:00,2013-10-08 18:08:22+00:00,1.0,0
Thilina,51.0,7715.0,3181.0,10896.0,262.0,168.0,2013-04-18 19:17:17+00:00,2014-04-29 20:02:11+00:00,1.0,0
Moore,15.0,13821.0,8286.0,22107.0,701.0,432.0,2011-09-23 21:53:42+00:00,2024-10-01 04:02:19+00:00,1.0,0
Pedregosa,85.0,7977.0,1988.0,9965.0,283.0,112.0,2008-09-16 16:24:07+00:00,2009-08-19 15:17:07+00:00,1.0,0
Kulal,242.0,1687.0,617.0,2304.0,29.0,25.0,2022-08-23 13:13:26+00:00,2022-12-16 04:21:21+00:00,1.0,0
Sergiu,31.0,8471.0,3259.0,11730.0,417.0,260.0,2012-02-28 18:03:02+00:00,2012-11-20 13:22:19+00:00,1.0,0
Shivam,82.0,4578.0,2244.0,6822.0,191.0,118.0,2014-11-15 17:14:04+00:00,2015-12-02 05:26:50+00:00,1.0,0
Granger,63.0,19534.0,14376.0,33910.0,456.0,140.0,2008-12-09 17:12:32+00:00,2012-02-14 21:10:49+00:00,1.0,0
Fabian,85.0,7977.0,1988.0,9965.0,283.0,112.0,2008-09-16 16:24:07+00:00,2009-08-19 15:17:07+00:00,1.0,0
sympy,,,,,,,,,0.0,0
Isuru,94.0,1391.0,723.0,2114.0,168.0,102.0,2015-07-01 05:33:58+00:00,2024-10-04 22:19:34+00:00,1.0,0
Christopher P. and,,,,,,,,,0.0,0
Ashutosh,317.0,62.0,50.0,112.0,21.0,17.0,2016-01-26 18:07:37+00:00,2016-02-15 14:03:26+00:00,1.0,0
Kumar A,,,,,,,,,0.0,0
Scopatz,387.0,280.0,123.0,403.0,19.0,12.0,2016-04-01 21:28:27+00:00,2016-05-19 03:52:42+00:00,1.0,0
Francesco,8.0,136662.0,99625.0,236287.0,2494.0,852.0,2013-07-08 11:48:03+00:00,2023-08-08 07:43:18+00:00,1.0,0
Pearu Peterson,170.0,7050.0,1485.0,8535.0,159.0,43.0,2007-07-21 22:46:05+00:00,2007-09-22 20:40:02+00:00,1.0,0
Fabian Pedregosa,85.0,7977.0,1988.0,9965.0,283.0,112.0,2008-09-16 16:24:07+00:00,2009-08-19 15:17:07+00:00,1.0,0
Čertík O,,,,,,,,,0.0,0
Mateusz,4.0,165423.0,89321.0,254744.0,5190.0,1417.0,2007-07-19 21:07:03+00:00,2013-10-08 18:08:22+00:00,1.0,0
Fernando,94.0,1391.0,723.0,2114.0,168.0,102.0,2015-07-01 05:33:58+00:00,2024-10-04 22:19:34+00:00,1.0,0
Terrel,171.0,2160.0,1388.0,3548.0,149.0,42.0,2008-10-08 14:48:15+00:00,2011-05-23 19:19:21+00:00,1.0,0
Cimrman R,1192.0,106.0,35.0,141.0,4.0,1.0,2008-07-31 12:58:55+00:00,2008-07-31 12:58:55+00:00,1.0,0
Bonazzi F,,,,,,,,,0.0,0
Singh,14.0,12146.0,9030.0,21176.0,745.0,433.0,2018-03-01 06:34:17+00:00,2021-01-20 06:37:19+00:00,1.0,0
Gupta,126.0,734406.0,1642.0,736048.0,1824.0,71.0,2020-01-27 18:56:39+00:00,2020-04-17 13:41:49+00:00,1.0,0
Roučka Š,,,,,,,,,0.0,0
Kulal S,,,,,,,,,0.0,0
Muller,58.0,2086.0,825.0,2911.0,155.0,151.0,2013-06-23 00:58:25+00:00,2013-08-13 20:05:55+00:00,1.0,0
Vats S,,,,,,,,,0.0,0
Vig S,,,,,,,,,0.0,0
Saboo,317.0,62.0,50.0,112.0,21.0,17.0,2016-01-26 18:07:37+00:00,2016-02-15 14:03:26+00:00,1.0,0
Robert Schwarz,221.0,6453.0,2524.0,8977.0,103.0,29.0,2007-07-21 22:02:04+00:00,2007-08-22 14:09:05+00:00,1.0,0
Jason K.,,,,,,,,,0.0,0
