name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Clara Ma,,,,,,,,,0.0,0
Anthony Moi,69.0,4598.0,2974.0,7572.0,73.0,24.0,2019-07-31 15:05:06+00:00,2021-02-10 02:48:22+00:00,1.0,0
Rémi Louf,28.0,7130.0,4055.0,11185.0,164.0,81.0,2019-10-08 15:32:28+00:00,2019-12-20 10:13:46+00:00,1.0,0
Lysandre Debut,5.0,40255.0,22756.0,63011.0,2999.0,654.0,2019-07-02 21:22:59+00:00,2024-07-23 14:58:17+00:00,1.0,0
Sam Shleifer,12.0,21112.0,7486.0,28598.0,996.0,280.0,2019-09-18 23:35:01+00:00,2024-04-11 13:04:46+00:00,1.0,0
Teven Le Scao,73.0,3128.0,650.0,3778.0,87.0,23.0,2020-07-02 09:56:44+00:00,2023-06-16 19:14:03+00:00,1.0,0
Clement Delangue,79.0,61.0,37.0,98.0,20.0,20.0,2018-11-05 19:59:44+00:00,2021-01-05 20:02:46+00:00,1.0,0
Patrick von Platen,4.0,155016.0,33060.0,188076.0,3319.0,786.0,2019-12-06 00:24:22+00:00,2024-01-31 12:02:07+00:00,1.0,0
Mariama Drame,1642.0,2.0,2.0,4.0,1.0,1.0,2024-01-26 11:58:57+00:00,2024-01-26 11:58:57+00:00,1.0,0
Pierric Cistac,355.0,204.0,16.0,220.0,9.0,4.0,2019-07-31 14:37:56+00:00,2020-07-02 23:23:55+00:00,1.0,0
Sylvain Gugger,1.0,237171.0,180124.0,417295.0,12664.0,1013.0,2020-06-01 19:22:51+00:00,2023-10-04 13:13:37+00:00,1.0,0
Thomas Wolf,3.0,120117.0,74298.0,194415.0,2982.0,891.0,2018-10-30 19:18:49+00:00,2020-02-07 07:58:06+00:00,1.0,0
Victor Sanh,19.0,13107.0,4630.0,17737.0,317.0,194.0,2018-11-01 05:05:11+00:00,2024-01-10 07:33:33+00:00,1.0,0
Canwen Xu,58.0,2724.0,130.0,2854.0,63.0,28.0,2020-02-10 01:37:53+00:00,2021-09-08 13:09:22+00:00,1.0,0
Joe Davison,49.0,2915.0,169.0,3084.0,81.0,32.0,2020-02-13 18:29:43+00:00,2021-04-01 17:58:37+00:00,1.0,0
Quentin Lhoest,91.0,2620.0,298.0,2918.0,62.0,17.0,2020-07-07 12:56:12+00:00,2024-03-15 15:35:02+00:00,1.0,0
Tim Rault,102.0,7229.0,4161.0,11390.0,36.0,14.0,2018-11-01 08:39:04+00:00,2018-11-03 21:40:50+00:00,1.0,0
Yacine Jernite,475.0,3598.0,2108.0,5706.0,23.0,3.0,2020-06-16 20:36:58+00:00,2020-06-30 14:42:08+00:00,1.0,0
Julien Chaumond,8.0,17452.0,10672.0,28124.0,1666.0,367.0,2018-12-19 00:23:22+00:00,2020-12-08 14:58:45+00:00,1.0,0
Julien Plu,25.0,27342.0,15386.0,42728.0,701.0,113.0,2020-05-06 14:40:55+00:00,2022-01-31 12:58:18+00:00,1.0,0
Alexander M. Rush,1642.0,2.0,2.0,4.0,1.0,1.0,2024-01-26 11:58:57+00:00,2024-01-26 11:58:57+00:00,1.0,0
Morgan Funtowicz,31.0,2967.0,1740.0,4707.0,89.0,66.0,2019-12-03 13:56:57+00:00,2020-03-05 15:07:43+00:00,1.0,0
