name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Winston Chang,1,176024,124591,300615,4941,1930,2012-10-26 21:38:18+00:00,2023-06-30 19:06:26+00:00,1.0,0
Yihui Xie,3,7858,5342,13200,796,411,2013-09-03 22:24:05+00:00,2016-02-19 06:02:25+00:00,1.0,0
Barret Schloerke,6,187902,186721,374623,825,338,2018-04-13 14:07:03+00:00,2022-10-21 19:47:39+00:00,1.0,0
Carson Sievert,5,30821,23644,54465,1035,338,2018-03-20 23:37:43+00:00,2024-08-01 15:28:25+00:00,1.0,0
Jonathan McPherson,11,10593,5991,16584,274,92,2013-10-02 15:53:45+00:00,2016-11-10 21:10:18+00:00,1.0,0
Joe Cheng,2,76018,20968,96986,1602,552,2013-03-01 05:06:06+00:00,2024-07-31 16:31:31+00:00,1.0,0
Barbara Borges,8,7479,4080,11559,510,214,2016-03-01 15:55:58+00:00,2018-04-24 16:44:54+00:00,1.0,0
JJ Allaire,7,9983,4058,14041,660,252,2012-07-10 16:45:30+00:00,2017-01-09 17:32:12+00:00,1.0,0
Alan Dipert,9,17119,9894,27013,325,144,2017-05-26 16:16:02+00:00,2020-05-20 22:33:02+00:00,1.0,0
Jeff Allen,10,7116,4281,11397,604,124,2013-06-05 20:15:54+00:00,2019-11-13 17:43:50+00:00,1.0,0
