name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Gropp,,,,,,,,,0.0,0
McCann,,,,,,,,,0.0,0
Czernecki,2.0,29297.0,19996.0,49293.0,785.0,141.0,2021-02-07 10:51:34+00:00,2023-08-23 12:03:37+00:00,1.0,0
Corfidi,,,,,,,,,0.0,0
Coffer,,,,,,,,,0.0,0
Sherburn,,,,,,,,,0.0,0
Davenport,,,,,,,,,0.0,0
Bunkers,,,,,,,,,0.0,0
Taszarek,1.0,7772.0,5443.0,13215.0,316.0,314.0,2021-02-19 06:49:37+00:00,2023-09-07 11:45:04+00:00,1.0,0
Showalter,,,,,,,,,0.0,0
Romanic,,,,,,,,,0.0,0
Parker,,,,,,,,,0.0,0
