name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Fabien Bochu,22.0,2.0,1.0,3.0,1.0,1.0,2015-03-10 14:55:46+00:00,2015-03-10 14:55:46+00:00,1.0,0
Jarom Loveridge,,,,,,,,,0.0,0
Fabien Loffredo,16.0,26.0,12.0,38.0,5.0,2.0,2016-12-23 12:52:19+00:00,2016-12-23 14:30:50+00:00,1.0,0
Michael Hrivnak,26.0,2.0,2.0,4.0,2.0,1.0,2012-11-16 20:07:34+00:00,2012-11-16 20:07:34+00:00,1.0,0
Geoffrey Fairchild,17.0,25.0,1.0,26.0,3.0,2.0,2015-06-22 20:54:54+00:00,2015-06-22 20:55:25+00:00,1.0,0
Hugo van Kemenade,5.0,153.0,90.0,243.0,29.0,12.0,2018-04-29 14:31:43+00:00,2022-03-12 10:12:16+00:00,1.0,0
Reinoud Elhorst,,,,,,,,,0.0,0
Felix Claessen,,,,,,,,,0.0,0
Adrian Coveney,9.0,68.0,57.0,125.0,11.0,4.0,2014-08-18 14:07:59+00:00,2015-02-26 17:29:39+00:00,1.0,0
Tommi Virtanen,,,,,,,,,0.0,0
David Brooks,,,,,,,,,0.0,0
Gabriel de Perthuis,10.0,44.0,52.0,96.0,4.0,3.0,2015-01-20 16:44:02+00:00,2015-01-20 16:59:19+00:00,1.0,0
