name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Yiyi Xu,6.0,62246.0,10938.0,73184.0,1176.0,168.0,2022-12-15 23:04:40+00:00,2024-10-21 23:27:01+00:00,1.0,0
Thomas Wolf,,,,,,,,,0.0,0
Patrick von Platen,1.0,140074.0,72308.0,212382.0,5448.0,928.0,2022-05-30 16:07:33+00:00,2024-01-31 22:13:10+00:00,1.0,0
@heejkoo,,,,,,,,,0.0,0
Suraj Patil,3.0,41455.0,8601.0,50056.0,688.0,276.0,2022-06-07 11:56:09+00:00,2024-03-14 10:52:25+00:00,1.0,0
Sayak Paul,2.0,97152.0,42615.0,139767.0,3378.0,488.0,2023-01-16 08:16:54+00:00,2024-10-22 15:12:30+00:00,1.0,0
Mishig Davaadorj,24.0,1498.0,160.0,1658.0,43.0,17.0,2022-09-05 09:26:23+00:00,2023-09-29 16:49:40+00:00,1.0,0
Pedro Cuenca,7.0,9029.0,2621.0,11650.0,508.0,149.0,2022-08-06 19:59:12+00:00,2023-12-22 08:37:30+00:00,1.0,0
Picasso,263.0,7.0,7.0,14.0,1.0,1.0,2024-08-16 04:44:05+00:00,2024-08-16 04:44:05+00:00,1.0,0
Anton Lozhkov,4.0,18497.0,10278.0,28775.0,805.0,211.0,2022-06-07 09:55:45+00:00,2023-03-03 15:08:56+00:00,1.0,0
William Berman,9.0,29282.0,4086.0,33368.0,591.0,123.0,2022-11-03 15:10:28+00:00,2023-12-26 21:46:28+00:00,1.0,0
Steven Liu,8.0,29583.0,20372.0,49955.0,688.0,133.0,2023-03-03 23:41:03+00:00,2024-09-25 16:33:54+00:00,1.0,0
Nathan Lambert,15.0,4043.0,775.0,4818.0,153.0,26.0,2022-06-27 19:21:46+00:00,2022-12-07 17:08:12+00:00,1.0,0
Dhruv Nair,5.0,34286.0,14822.0,49108.0,1342.0,208.0,2023-03-05 19:42:50+00:00,2024-10-22 14:05:03+00:00,1.0,0
Kashif Rasul,11.0,17167.0,2768.0,19935.0,456.0,50.0,2022-06-16 15:45:31+00:00,2024-03-06 09:37:25+00:00,1.0,0
