name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Khiem Doan</b></sub></a><br,73.0,5.0,3.0,8.0,3.0,2.0,2023-04-10 08:09:26+00:00,2023-04-11 03:53:36+00:00,1.0,0
Magnús Ágúst Skúlason</b></sub></a><br,105.0,86.0,9.0,95.0,3.0,1.0,2023-01-04 06:57:16+00:00,2023-01-04 06:57:16+00:00,1.0,0
NiclasHaderer,171.0,32.0,2.0,34.0,2.0,1.0,2022-12-17 06:51:14+00:00,2022-12-17 06:51:14+00:00,1.0,0
Jarred Glaser</b></sub></a><br,181.0,5.0,4.0,9.0,2.0,1.0,2023-11-14 18:43:02+00:00,2023-11-14 18:43:02+00:00,1.0,0
Alex,172.0,95.0,2.0,97.0,2.0,1.0,2024-05-25 08:42:51+00:00,2024-05-25 08:42:51+00:00,1.0,0
Michael Gerbig</b></sub></a><br,199.0,1.0,1.0,2.0,1.0,1.0,2024-03-04 19:07:01+00:00,2024-03-04 19:07:01+00:00,1.0,0
James O'Claire</b></sub></a><br,70.0,74.0,2.0,76.0,2.0,2.0,2023-08-22 13:23:07+00:00,2023-10-24 23:16:19+00:00,1.0,0
Taimur Ibrahim</b></sub></a><br,107.0,1.0,1.0,2.0,1.0,1.0,2024-07-09 13:15:20+00:00,2024-07-09 13:15:20+00:00,1.0,0
Antoine van der Horst</b></sub></a><br,219.0,47.0,1.0,48.0,1.0,1.0,2023-03-21 13:56:26+00:00,2023-03-21 13:56:26+00:00,1.0,0
Vincent Sarago</b></sub></a><br,,,,,,,,,0.0,0
Stephan Fitzpatrick</b></sub></a><br,106.0,36.0,2.0,38.0,2.0,1.0,2023-02-11 06:07:05+00:00,2023-02-11 06:07:05+00:00,1.0,0
Aidan Simard</b></sub></a><br,165.0,2.0,2.0,4.0,1.0,1.0,2022-08-14 07:01:49+00:00,2022-08-14 07:01:49+00:00,1.0,0
Luis San Pablo</b></sub></a><br,75.0,126.0,81.0,207.0,14.0,2.0,2023-09-27 23:41:23+00:00,2023-09-30 02:40:35+00:00,1.0,0
juan-riveros,174.0,4.0,0.0,4.0,1.0,1.0,2023-08-22 22:28:42+00:00,2023-08-22 22:28:42+00:00,1.0,0
Manuel Sanchez Pinar</b></sub></a><br,51.0,5.0,5.0,10.0,5.0,3.0,2023-08-20 19:45:12+00:00,2023-08-25 14:25:36+00:00,1.0,0
Jon Daly</b></sub></a><br,31.0,345.0,225.0,570.0,26.0,6.0,2022-09-16 12:19:11+00:00,2022-09-29 15:45:00+00:00,1.0,0
Tory Clasen</b></sub></a><br,24.0,37.0,7.0,44.0,9.0,9.0,2022-02-15 16:33:45+00:00,2022-02-15 20:41:41+00:00,1.0,0
Henry Zhou</b></sub></a><br,153.0,33.0,7.0,40.0,2.0,1.0,2023-12-02 18:18:02+00:00,2023-12-02 18:18:02+00:00,1.0,0
Nick Groenen</b></sub></a><br,124.0,7.0,0.0,7.0,1.0,1.0,2023-03-25 12:23:04+00:00,2023-03-25 12:23:04+00:00,1.0,0
Leejay Hsu</b></sub></a><br,91.0,265.0,140.0,405.0,4.0,2.0,2023-11-10 17:44:11+00:00,2023-11-14 15:45:57+00:00,1.0,0
Nikita Sobolev</b></sub></a><br,48.0,3.0,4.0,7.0,4.0,4.0,2022-06-18 06:29:45+00:00,2022-06-18 06:30:59+00:00,1.0,0
Joren Six</b></sub></a><br,113.0,36.0,14.0,50.0,3.0,1.0,2024-05-17 12:06:13+00:00,2024-05-17 12:06:13+00:00,1.0,0
danesolberg,28.0,301.0,63.0,364.0,12.0,8.0,2022-06-30 23:48:54+00:00,2022-07-14 04:27:22+00:00,1.0,0
Michiel W. Beijen</b></sub></a><br,135.0,0.0,0.0,0.0,0.0,1.0,2023-11-10 18:09:51+00:00,2023-11-10 18:09:51+00:00,1.0,0
Dennis Brakhane</b></sub></a><br,220.0,26.0,2.0,28.0,2.0,1.0,2023-10-26 22:17:23+00:00,2023-10-26 22:17:23+00:00,1.0,0
David Brochart</b></sub></a><br,191.0,2.0,2.0,4.0,2.0,1.0,2023-08-28 16:57:13+00:00,2023-08-28 16:57:13+00:00,1.0,0
Niclas Haderer</b></sub></a><br,171.0,32.0,2.0,34.0,2.0,1.0,2022-12-17 06:51:14+00:00,2022-12-17 06:51:14+00:00,1.0,0
Jonas Krüger Svensson</b></sub></a><br,50.0,6.0,5.0,11.0,3.0,3.0,2021-12-30 08:24:13+00:00,2022-01-08 10:22:11+00:00,1.0,0
Jean Arhancet</b></sub></a><br,127.0,1.0,1.0,2.0,1.0,1.0,2024-01-27 15:22:13+00:00,2024-01-27 15:22:13+00:00,1.0,0
Srikanth Chekuri</b></sub></a><br,,,,,,,,,0.0,0
Sean Donoghue</b></sub></a><br,161.0,88.0,85.0,173.0,27.0,1.0,2023-08-30 13:48:15+00:00,2023-08-30 13:48:15+00:00,1.0,0
Nicholas Ramos</b></sub></a><br,,,,,,,,,0.0,0
Goldziher,,,,,,,,,0.0,0
Taein Min</b></sub></a><br,122.0,7.0,7.0,14.0,1.0,1.0,2024-04-19 14:14:54+00:00,2024-04-19 14:14:54+00:00,1.0,0
George Sakkis</b></sub></a><br,22.0,1011.0,1280.0,2291.0,59.0,10.0,2023-06-14 04:09:59+00:00,2024-02-03 19:28:26+00:00,1.0,0
Eric Kennedy</b></sub></a><br,194.0,1.0,1.0,2.0,1.0,1.0,2023-02-15 13:18:54+00:00,2023-02-15 13:18:54+00:00,1.0,0
Diego Alvarez</b></sub></a><br,,,,,,,,,0.0,0
