name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Scalene,,,,,,,,,0.0,0
Juan Altmayer Pizzorno,2.0,3245.0,3068.0,6313.0,395.0,315.0,2020-09-29 00:44:50+00:00,2024-07-22 23:38:59+00:00,1.0,0
Sophia Berger](https://www.linkedin.com,,,,,,,,,0.0,0
Emery D. Berger,1.0,107193.0,70731.0,177924.0,3092.0,2158.0,2019-12-17 20:57:05+00:00,2024-10-18 20:17:16+00:00,1.0,0
Sam Stern,3.0,7801.0,4309.0,12110.0,309.0,197.0,2020-12-28 23:04:48+00:00,2023-02-07 16:44:51+00:00,1.0,0
in Jupyter,,,,,,,,,0.0,0
Sam Stern](https://samstern.me/,8.0,64.0,14.0,78.0,11.0,9.0,2023-06-05 19:26:55+00:00,2024-03-19 19:31:38+00:00,1.0,0
Ozsvald,,,,,,,,,0.0,0
Ian Ozsvald,,,,,,,,,0.0,0
Emery Berger](https://emeryberger.com,17.0,5.0,7.0,12.0,3.0,3.0,2024-10-01 15:14:26+00:00,2024-10-01 15:23:09+00:00,1.0,0
Jupyter,,,,,,,,,0.0,0
Juan Altmayer Pizzorno](https://github.com,2.0,3245.0,3068.0,6313.0,395.0,315.0,2020-09-29 00:44:50+00:00,2024-07-22 23:38:59+00:00,1.0,0
