name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Francisco Massa](https://github.com,3840.0,2.0,12.0,14.0,1.0,1.0,2019-04-19 05:10:34+00:00,2019-04-19 05:10:34+00:00,1.0,0
Martin Raison](https://github.com,489.0,3726.0,1583.0,5309.0,116.0,22.0,2016-11-29 14:20:40+00:00,2017-03-12 17:20:49+00:00,1.0,0
Guillaume Lample](https://github.com,,,,,,,,,0.0,0
Marat Dukhan](https://github.com,239.0,7328.0,2555.0,9883.0,244.0,66.0,2017-07-04 05:14:27+00:00,2019-01-17 17:18:04+00:00,1.0,0
Alban Desmaison](https://github.com,1846.0,6.0,3.0,9.0,2.0,2.0,2015-10-07 10:23:27+00:00,2015-10-26 17:03:03+00:00,1.0,0
Sergey Zagoruyko](https://github.com,356.0,1597.0,678.0,2275.0,77.0,36.0,2014-09-24 19:45:38+00:00,2019-06-11 19:16:16+00:00,1.0,0
Hugh,509.0,358.0,43.0,401.0,38.0,20.0,2015-10-04 04:42:18+00:00,2018-01-04 17:23:21+00:00,1.0,0
Nikita Shulga](https://github.com,4.0,174308.0,151681.0,325989.0,7477.0,1202.0,2019-12-20 17:10:47+00:00,2023-10-03 08:16:42+00:00,1.0,0
Adam Lerer](https://github.com,355.0,6304.0,2774.0,9078.0,200.0,37.0,2015-04-18 01:20:51+00:00,2018-08-07 15:12:43+00:00,1.0,0
Trevor Killeen](https://github.com,122.0,8008.0,4598.0,12606.0,453.0,155.0,2016-09-28 22:03:09+00:00,2017-08-30 19:20:13+00:00,1.0,0
James Bradbury](https://github.com,,,,,,,,,0.0,0
Yuandong Tian](https://github.com,,,,,,,,,0.0,0
Luca Antiga](https://github.com,290.0,6284.0,1521.0,7805.0,238.0,53.0,2016-10-16 15:49:47+00:00,2020-05-28 08:26:44+00:00,1.0,0
Andreas Koepf](https://github.com,3697.0,8.0,8.0,16.0,3.0,1.0,2022-05-26 19:09:18+00:00,2022-05-26 19:09:18+00:00,1.0,0
Natalia Gimelshein](https://github.com,34.0,22333.0,30777.0,53110.0,1447.0,386.0,2019-09-26 00:34:50+00:00,2023-06-03 01:45:09+00:00,1.0,0
Sasank Chilamkurthy](https://github.com,781.0,188.0,319.0,507.0,21.0,10.0,2017-02-17 22:59:00+00:00,2017-10-15 14:56:33+00:00,1.0,0
Zachary Devito](https://github.com,190.0,17707.0,10870.0,28577.0,814.0,93.0,2017-07-10 14:42:45+00:00,2023-06-16 06:32:18+00:00,1.0,0
Alykhan Tejani](https://github.com,331.0,1735.0,281.0,2016.0,85.0,41.0,2017-01-21 15:41:52+00:00,2018-01-02 17:56:49+00:00,1.0,0
Zeming Lin](https://github.com,494.0,10562.0,5508.0,16070.0,127.0,21.0,2016-03-20 04:33:22+00:00,2022-04-22 14:07:34+00:00,1.0,0
Edward Yang](https://github.com,,,,,,,,,0.0,0
Christian Sarofeen](https://github.com,298.0,48616.0,17306.0,65922.0,492.0,51.0,2017-02-17 18:16:12+00:00,2020-08-18 16:07:55+00:00,1.0,0
Soumith Chintala](http://soumith.ch,2937.0,9.0,5.0,14.0,1.0,1.0,2019-12-06 17:14:38+00:00,2019-12-06 17:14:38+00:00,1.0,0
Gregory Chanan](https://github.com,9.0,54565.0,50579.0,105144.0,3515.0,855.0,2016-08-31 19:23:51+00:00,2021-05-13 15:09:53+00:00,1.0,0
Dmytro Dzhulgakov](https://github.com,97.0,11533.0,5948.0,17481.0,766.0,192.0,2016-11-24 02:17:01+00:00,2022-02-11 22:43:45+00:00,1.0,0
