Repository,Stars,Ecosystem,Name
https://github.com/project-monai/monai,5762,pypi,monai
https://github.com/achael/eht-imaging,5286,pypi,ehtim
https://github.com/nlohmann/json,42751,pypi,nlohmann-json
https://github.com/python-attrs/attrs,5265,pypi,attrs
https://github.com/psf/black,38798,pypi,black
https://github.com/open-mmlab/mmdetection3d,5249,pypi,mmdet3d
https://github.com/jerryjliu/llama_index,36155,pypi,gpt-index
https://github.com/charlespikachu/games,5002,pypi,cpgames
https://github.com/coqui-ai/TTS,34724,pypi,tts
https://github.com/HIT-SCIR/ltp,4949,pypi,ltp-extension
https://github.com/gradio-app/gradio,33275,pypi,gradio
https://github.com/facebookresearch/Kats,4912,pypi,kats
https://github.com/hiyouga/LLaMA-Factory,32673,pypi,llmtuner
https://github.com/gboeing/osmnx,4857,pypi,osmnx
https://github.com/OSGeo/gdal,4839,pypi,gdal
https://github.com/davidteather/tiktok-api,4803,pypi,tiktokapi
https://github.com/mandiant/capa,4767,pypi,flare-capa
https://github.com/aiogram/aiogram,4676,pypi,aiogram
https://github.com/huggingface/alignment-handbook,4597,pypi,alignment-handbook
https://github.com/promptfoo/promptfoo,4464,pypi,promptfoo
https://github.com/shibing624/text2vec,4440,pypi,text2vec
https://github.com/python-poetry/poetry,31479,pypi,poetry-core
https://github.com/ultralytics/ultralytics,31093,pypi,ultralytics
https://github.com/explosion/spaCy,29865,pypi,spacy
https://github.com/open-mmlab/mmdetection,29360,pypi,mmdet
https://github.com/lightning-ai/lightning,28199,pypi,pytorch-lightning
https://github.com/lutzroeder/netron,27893,pypi,netron
https://github.com/huggingface/diffusers,25599,pypi,diffusers
https://github.com/ManimCommunity/manim,24549,pypi,manim
https://github.com/roboflow/supervision,23749,pypi,supervision
https://github.com/duckdb/duckdb,23531,pypi,duckdb
https://github.com/pyg-team/pytorch_geometric,21167,pypi,torch-geometric
https://github.com/thunlp/openprompt,4336,pypi,openprompt
https://github.com/open-mmlab/mmocr,4322,pypi,mmocr
https://github.com/pydantic/pydantic,20834,pypi,pydantic
